MCS_variation_scaled,Lattice_size_variation_scaled,Temperature_variation_scaled
0.020914769566459747,0.31518440172905393,0.4432020354227401
0.15302530653776394,0.4934175086386991,0.85878785318293
0.2870041818425415,0.4569247546346788,0.6141662793918141
0.0676497773244472,0.7241397432696982,0.2534608289090111
0.052394973885865344,0.6823126749090144,0.6860914344191115
0.36665244523255774,0.6603578983326985,0.31269275725612217
0.4690424488198163,0.46750798176347774,0.36540438535960174
0.23334101002641894,0.39774145655687115,0.38133194383810437
0.19609525932301386,0.35521803681465286,0.5301675374483041
0.05766904726476095,0.23505143803129722,0.2886676336802376
0.20192440083204635,0.28593107435193343,0.3816934003670895
0.9207876410592363,0.31831798294596125,0.4386392335243893
0.7228876385277788,0.5030810263956593,0.28214733343660614
0.13583054307149633,0.28377632668076974,0.3527862665295952
0.15872972751032427,0.4481940849548696,0.23590436892976033
0.3276723381581245,0.16450972921128348,0.4535434475442081
0.09066874287256073,1.0,0.7992132452693791
0.11333453937680425,0.8954159057166512,1.0
0.3377345687663963,0.6990710935344429,0.5217930121533885
0.41504771795376816,0.6171709739722244,0.0
0.30089879051951063,0.652698033135815,0.5648485872682809
0.34116623580454947,0.36731221505432904,0.4942565965816538
0.16057151642266884,0.4411254614970247,0.5911598060339767
0.35339502266270895,0.1962922573609604,0.730865101606839
0.5569691921752061,0.36476987557646173,0.7084970449755194
0.04277296972563249,0.23248939049546066,0.5019739281875064
0.060782121249353366,0.2535375964052502,0.38781469015664655
0.07058009250312222,0.8347807807018697,0.32952630417740486
0.306803875721542,0.3573596457805057,0.2127758453153822
0.13221117780023814,0.2446098461457615,0.3513075807292034
0.161689061823723,0.6310126000183944,0.3979073075243985
0.22465194017612694,0.8464676590768745,0.3232172447624011
0.24055195629100856,0.4315933307931836,0.24298328380909415
0.2569236877022456,0.463329873474268,0.46020926924756017
0.3969138458935762,0.3237574069451207,0.5816211090612923
0.03591272279131905,0.6010694906123949,0.4900317800091071
0.25700518825083113,0.7095032255521547,0.6269017542377255
0.4558961633616747,0.3485172971055437,0.6963389617278566
0.22189697466259,0.9794510648920655,0.5077149844855343
0.16082466206600174,0.5209956510885416,0.26150206311875956
0.10560865782797262,0.25922665580533716,0.18728142442037846
0.23943255860475957,0.2528478143763712,0.49516258502443383
0.1883020780787596,0.454783145668826,0.3308782454806192
0.27186730722804825,0.21626965878782425,0.3260244006628263
0.32067872668976266,0.2735544139480497,0.46999676097396054
0.3783119631074185,0.18828421647330892,0.3358870002394064
0.18170547307055118,0.6990054000078839,0.5100714932848883
0.1564717918574779,0.747132477565661,0.6400080740938946
0.15791101745408345,0.24252736135381212,0.6498143427828401
0.20526098389685005,0.14325130401650207,0.9424579982819085
0.18585644419280814,0.0,0.6685161974773155
0.009055822318924817,0.5476015293452988,0.5655855830481584
0.10822778909386732,0.6098395764081411,0.3915325287404886
0.2327674190443316,0.14534692751376385,0.5057105437338927
0.12511322093255164,0.6185899541459181,0.5212437859989577
0.09734561357255776,0.7641536702973293,0.45991822632811796
0.27919247774633676,0.28738290128890726,0.4488632896299525
0.1310899278287943,0.5004532853332639,0.5100433278410716
0.0,0.4402977230623696,0.2831049585263839
0.18742903432346208,0.3991670060832217,0.49983804869805265
0.24627798725751218,0.7102587011075926,0.24475301252892812
0.21441003790392948,0.37110273153683515,0.3907720617574301
0.1697360061397081,0.2268528859166217,0.5672520384739959
0.20506278938097172,0.37903194019261394,0.45252479732615997
0.2994564777809123,0.5270263168267395,0.7704328559290613
0.12518916462555052,0.21404921759009876,0.2939909025616469
0.25685700543522194,0.4993562034397135,0.4929656804067087
0.11775100471036107,0.040572322003390955,0.56230430884348
0.9460367579822694,0.31583476764199736,0.2794810047552657
0.38574888816581104,0.2752493069332955,0.40966638031798797
0.21114939853212578,0.3590808161763748,0.2180146178653412
0.016299492288627798,0.8979976613104541,0.31326076037309813
0.006921989774150511,0.5865118051267226,0.27456613480920244
0.09710543392559084,0.7020732876982309,0.14518816863590064
0.2687387975334971,0.4276517191995905,0.4241011702741904
0.08029779806510244,0.675769599663649,0.3414496753932601
0.04096822651719106,0.17435061948995542,0.45264684758270063
0.2871727397952971,0.33164719948496385,0.506156496594328
0.2032024776166767,0.4124108210376947,0.42258023630807345
0.6171332675977897,0.2554230006175201,0.3941894689405564
0.23397634384834448,0.38079252670441865,0.4732686466973673
0.20269989090040166,0.25200693723640516,0.3281602801522811
0.2624669598628318,0.5551037300784385,0.3960108343073881
0.06737749140076593,0.5139467356886659,0.39462133907908337
0.11496022834971793,0.4097239558013959,0.5834143089843071
0.5115696820428974,0.46950506497089756,0.7863416374450187
0.15932678077155085,0.3474662006805858,0.4934304102296892
0.08565460684937942,0.3932414499875182,0.3772902026503676
0.15315681878661752,0.17843018748932465,0.38786632680364425
0.15768009923309176,0.24127918434917472,0.3136175226614464
0.14462334089271514,0.9372232660193671,0.472639618452121
0.1372635943841184,0.13833085887716684,0.3707229600003752
1.0,0.1416680900264091,0.49681026348772717
0.039976636509404875,0.3750771898937085,0.3156313518943606
0.1054314558776397,0.7056207381324651,0.4526511423134955
0.25215158361122714,0.34126473177333155,0.4526511423134955
0.09751478895371127,0.4412150373577191,0.4526511423134955
