#=====================================================
# File created:        Fri-08-Mar-2024-at-06-26-33PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 2.000
# Run time (s):        1.261292
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -99.0394  0.3059 
   00001    0.6900    -149.0953  0.3570 
   00002    0.7400    -163.0684  0.3779 
   00003    0.7400    -149.7011  0.3661 
   00004    0.6700    -161.4793  0.3605 
   00005    0.8500    -142.7162  0.3710 
   00006    0.7600    -125.0644  0.3609 
   00007    0.7400    -111.1239  0.3159 
   00008    0.8600    -110.8747  0.3703 
   00009    0.7700    -120.7606  0.3676 
   00010    0.8200    -149.1342  0.2954 
   00011    0.7800    -162.3617  0.3637 
   00012    0.7200    -180.2791  0.4361 
   00013    0.7600    -167.3080  0.3802 
   00014    0.7000    -178.8771  0.3830 
   00015    0.6500    -168.7812  0.4365 
   00016    0.6700    -169.0852  0.4591 
   00017    0.6200    -170.5102  0.3743 
   00018    0.7400    -175.6568  0.4460 
   00019    0.7300    -155.4456  0.4168 
   00020    0.6800    -168.4286  0.4087 
   00021    0.6300    -172.0069  0.3915 
   00022    0.7600    -144.8682  0.2837 
   00023    0.7400    -156.4856  0.3160 
   00024    0.7300    -143.0607  0.3056 
   00025    0.7300    -156.3742  0.3569 
   00026    0.7400    -151.5494  0.2998 
   00027    0.7200    -161.2691  0.2874 
   00028    0.7900    -160.2201  0.2887 
   00029    0.7700    -161.1086  0.2891 
   00030    0.7000    -164.1400  0.2730 
   00031    0.7200    -141.1487  0.2761 
   00032    0.7500    -145.2891  0.3290 
   00033    0.7500    -150.7356  0.3592 
   00034    0.7800    -163.5588  0.3642 
   00035    0.7300    -169.6667  0.4234 
   00036    0.7200    -159.6325  0.3553 
   00037    0.7600    -137.4413  0.3558 
   00038    0.7900    -141.8849  0.3518 
   00039    0.7500    -160.7385  0.3847 
   00040    0.7100    -135.9898  0.3271 
   00041    0.8000    -189.0771  0.4262 
   00042    0.7100    -199.8486  0.4519 
   00043    0.6800    -189.3709  0.4171 
   00044    0.6800    -155.9901  0.3247 
   00045    0.6700    -164.4118  0.3719 
   00046    0.7800    -149.2407  0.4147 
   00047    0.8100    -111.5008  0.3117 
   00048    0.8100    -145.9177  0.3024 
   00049    0.8300    -136.7718  0.3051 
   00050    0.7600    -148.9953  0.3043 
   00051    0.7100    -165.0981  0.3806 
   00052    0.6700    -148.6926  0.3194 
   00053    0.7400    -144.4698  0.3243 
   00054    0.7500    -187.0849  0.3851 
   00055    0.7700    -157.9503  0.3634 
   00056    0.7800    -154.6881  0.3179 
   00057    0.7500    -160.4158  0.3926 
   00058    0.7100    -186.4458  0.3312 
   00059    0.7000    -181.5878  0.2925 
   00060    0.6400    -182.1119  0.3279 
   00061    0.6800    -185.4894  0.3866 
   00062    0.6900    -184.2191  0.4404 
   00063    0.7400    -149.6298  0.3024 
   00064    0.7700    -154.5035  0.3131 
   00065    0.7900    -112.5304  0.3070 
   00066    0.8500    -142.0423  0.3517 
   00067    0.7400    -157.5513  0.3434 
   00068    0.7000    -148.1702  0.4209 
   00069    0.7800    -167.5839  0.4530 
   00070    0.6800    -168.3215  0.4009 
   00071    0.6800    -170.8372  0.3295 
   00072    0.7300    -152.4179  0.2882 
   00073    0.7700    -150.3267  0.3181 
   00074    0.7200    -156.2994  0.2797 
   00075    0.7500    -160.1811  0.3268 
   00076    0.8300    -155.4167  0.3757 
   00077    0.7300    -166.8952  0.4356 
   00078    0.7800    -152.1462  0.3671 
   00079    0.7300    -172.5131  0.3668 
   00080    0.7100    -163.5862  0.3086 
   00081    0.8100    -150.5119  0.3334 
   00082    0.8100    -159.2181  0.4333 
   00083    0.7200    -160.9020  0.3884 
   00084    0.7800    -138.0654  0.3219 
   00085    0.7700    -155.7434  0.3327 
   00086    0.8100    -150.7487  0.3050 
   00087    0.7100    -137.1091  0.3253 
   00088    0.7700    -144.8845  0.2770 
   00089    0.7600    -138.0531  0.2748 
   00090    0.6600    -144.3497  0.3080 
   00091    0.7700    -154.7986  0.3664 
   00092    0.7400    -143.3491  0.2817 
   00093    0.7100    -157.1334  0.3127 
   00094    0.7700    -130.2319  0.2646 
   00095    0.8000    -143.1115  0.3344 
   00096    0.7500    -150.0781  0.3598 
   00097    0.6700    -146.3077  0.3349 
   00098    0.7600    -164.5595  0.3740 
   00099    0.8000    -183.4136  0.4703 
   00100    0.6700    -175.0039  0.4427 
