#=====================================================
# File created:        Fri-08-Mar-2024-at-06-27-06PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 2.000
# Run time (s):        1.153793
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -69.0208  0.3165 
   00001    0.8500    -119.5835  0.4296 
   00002    0.8200    -143.0781  0.3722 
   00003    0.7600    -135.1340  0.3538 
   00004    0.7500    -165.5104  0.4602 
   00005    0.7600    -165.8919  0.4231 
   00006    0.7200    -183.6648  0.4170 
   00007    0.6400    -168.0262  0.4082 
   00008    0.7400    -175.4658  0.4789 
   00009    0.7900    -190.2408  0.4125 
   00010    0.7100    -198.9034  0.4208 
   00011    0.5700    -194.0140  0.3781 
   00012    0.7800    -172.9754  0.3662 
   00013    0.7300    -160.1647  0.3821 
   00014    0.7000    -157.6682  0.3944 
   00015    0.7600    -145.4481  0.3393 
   00016    0.7700    -136.2098  0.4292 
   00017    0.7200    -158.7033  0.4240 
   00018    0.6800    -166.8699  0.4740 
   00019    0.7400    -174.9083  0.4387 
   00020    0.6800    -141.9221  0.3891 
   00021    0.7700    -137.9143  0.2997 
   00022    0.7900    -151.9070  0.2913 
   00023    0.7800    -136.7235  0.2974 
   00024    0.7200    -132.7173  0.2875 
   00025    0.6800    -161.7256  0.3592 
   00026    0.7100    -149.0408  0.3215 
   00027    0.7800    -137.6152  0.3241 
   00028    0.7000    -175.3090  0.3145 
   00029    0.7200    -158.2492  0.2631 
   00030    0.7000    -159.9559  0.3290 
   00031    0.7000    -159.4536  0.3407 
   00032    0.7600    -170.1452  0.3705 
   00033    0.7300    -160.6730  0.2939 
   00034    0.7700    -137.5738  0.3262 
   00035    0.7600    -164.3436  0.3090 
   00036    0.7000    -184.8795  0.4409 
   00037    0.6700    -192.8965  0.4722 
   00038    0.7000    -171.9328  0.4669 
   00039    0.5800    -166.5650  0.4751 
   00040    0.6400    -163.9709  0.4276 
   00041    0.8100    -145.3680  0.4132 
   00042    0.7100    -162.5561  0.3927 
   00043    0.7200    -159.7795  0.3027 
   00044    0.7700    -153.1972  0.3428 
   00045    0.7300    -139.1933  0.3320 
   00046    0.7800    -133.7604  0.2720 
   00047    0.7300    -144.4016  0.2967 
   00048    0.7900    -157.8188  0.3372 
   00049    0.6700    -183.7122  0.3153 
   00050    0.7700    -176.5752  0.2747 
   00051    0.7400    -185.2607  0.3139 
   00052    0.7400    -167.2654  0.3436 
   00053    0.7400    -152.0833  0.2769 
   00054    0.7200    -161.5801  0.3310 
   00055    0.7000    -148.6341  0.3812 
   00056    0.7100    -140.7359  0.3274 
   00057    0.7700    -155.2823  0.3935 
   00058    0.6200    -168.9793  0.3461 
   00059    0.5900    -156.4942  0.3532 
   00060    0.7300    -128.0286  0.3283 
   00061    0.7800    -157.8818  0.3029 
   00062    0.7500    -135.6886  0.3418 
   00063    0.6800    -155.9754  0.3123 
   00064    0.7400    -152.2672  0.3482 
   00065    0.7800    -146.1752  0.4263 
   00066    0.8000    -134.6080  0.4232 
   00067    0.7800    -141.5985  0.3562 
   00068    0.7100    -160.2788  0.3132 
   00069    0.6500    -153.1858  0.3306 
   00070    0.7800    -142.8340  0.3622 
   00071    0.7200    -144.5599  0.4102 
   00072    0.7400    -138.0440  0.3572 
   00073    0.8000    -152.4787  0.4091 
   00074    0.7600    -156.6270  0.3742 
   00075    0.6700    -156.7733  0.3848 
   00076    0.8100    -139.5353  0.4413 
   00077    0.7600    -144.3004  0.3018 
   00078    0.8400    -145.7667  0.2642 
   00079    0.7800    -141.6675  0.3164 
   00080    0.7100    -158.9607  0.2658 
   00081    0.6800    -162.7959  0.3724 
   00082    0.7400    -143.5204  0.3254 
   00083    0.6800    -153.6841  0.3211 
   00084    0.7600    -157.5226  0.2803 
   00085    0.7400    -197.0024  0.3150 
   00086    0.6800    -182.7354  0.3584 
   00087    0.7100    -155.8979  0.3113 
   00088    0.8700    -145.0765  0.4138 
   00089    0.8000    -151.0127  0.4132 
   00090    0.7900    -122.7547  0.3805 
   00091    0.7900    -123.5616  0.4006 
   00092    0.7800    -141.5217  0.3790 
   00093    0.7700    -170.2779  0.3752 
   00094    0.6700    -187.0108  0.3981 
   00095    0.6500    -165.5971  0.3691 
   00096    0.6900    -158.6625  0.3820 
   00097    0.7400    -151.2408  0.3434 
   00098    0.7100    -152.9040  0.3789 
   00099    0.7300    -144.0811  0.3821 
   00100    0.7000    -138.4085  0.3265 
