#=====================================================
# File created:        Sat-09-Mar-2024-at-02-19-46PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.203001
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2490.0862  0.2580 
   00001    0.6936   -3662.9787  0.2578 
   00002    0.6240   -4417.3897  0.2618 
   00003    0.5904   -4988.3158  0.2613 
   00004    0.5600   -5435.3469  0.2674 
   00005    0.5276   -5716.4945  0.2786 
   00006    0.5296   -6072.6408  0.2807 
   00007    0.5108   -6322.5685  0.2787 
   00008    0.5148   -6536.3919  0.2917 
   00009    0.4932   -6696.2687  0.2934 
   00010    0.4712   -6820.8853  0.2940 
   00011    0.4712   -6924.1958  0.2931 
   00012    0.4832   -7063.1036  0.2970 
   00013    0.4612   -7139.9080  0.2956 
   00014    0.4680   -7213.9716  0.3046 
   00015    0.4580   -7273.4289  0.3107 
   00016    0.4556   -7370.4456  0.3084 
   00017    0.4632   -7472.7391  0.3176 
   00018    0.4560   -7465.5581  0.3185 
   00019    0.4392   -7554.4106  0.3221 
   00020    0.4504   -7652.8036  0.3235 
   00021    0.4436   -7695.7871  0.3265 
   00022    0.4324   -7716.2187  0.3357 
   00023    0.4432   -7737.3444  0.3434 
   00024    0.4432   -7775.8490  0.3528 
   00025    0.4384   -7808.2061  0.3535 
   00026    0.4348   -7867.4483  0.3558 
   00027    0.4284   -7890.6790  0.3577 
   00028    0.4216   -7846.5708  0.3616 
   00029    0.4500   -7820.0698  0.3619 
   00030    0.4488   -7834.7859  0.3663 
   00031    0.4344   -7872.3249  0.3671 
   00032    0.4364   -7915.5698  0.3653 
   00033    0.4352   -7946.8533  0.3655 
   00034    0.4428   -7950.9082  0.3691 
   00035    0.4568   -7948.9995  0.3678 
   00036    0.4456   -7936.0196  0.3652 
   00037    0.4412   -7971.9999  0.3704 
   00038    0.4456   -7986.7626  0.3717 
   00039    0.4336   -8015.9143  0.3745 
   00040    0.4328   -8037.1160  0.3845 
   00041    0.4204   -8037.4670  0.3834 
   00042    0.4300   -8023.7346  0.3861 
   00043    0.4340   -8040.8923  0.3804 
   00044    0.4432   -8028.1530  0.3847 
   00045    0.4236   -8063.4457  0.3842 
   00046    0.4188   -8084.3292  0.3869 
   00047    0.4244   -8079.5034  0.3814 
   00048    0.4172   -8097.4312  0.3763 
   00049    0.4268   -8122.8907  0.3725 
   00050    0.4168   -8139.1016  0.3766 
