#=====================================================
# File created:        Sat-09-Mar-2024-at-11-45-58PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.700
# Run time (s):        9.926171
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -403.9068  0.2757 
   00001    0.6700    -625.4275  0.2577 
   00002    0.5950    -691.2684  0.2934 
   00003    0.5750    -775.8389  0.3025 
   00004    0.5900    -830.5721  0.3178 
   00005    0.5250    -853.1143  0.3257 
   00006    0.5325    -919.0173  0.3453 
   00007    0.5225    -985.2360  0.3776 
   00008    0.4825   -1021.6230  0.3752 
   00009    0.4575   -1044.6498  0.3680 
   00010    0.4425   -1060.6921  0.3642 
   00011    0.4650   -1061.9729  0.3573 
   00012    0.4975   -1047.9850  0.3762 
   00013    0.4400   -1058.6999  0.3869 
   00014    0.5225   -1040.1905  0.3824 
   00015    0.4375   -1069.7299  0.3931 
   00016    0.4675   -1084.6854  0.4064 
   00017    0.4450   -1090.7738  0.4229 
   00018    0.4725   -1071.2544  0.3959 
   00019    0.4350   -1091.1598  0.4158 
   00020    0.4525   -1105.5229  0.4100 
   00021    0.4525   -1133.2194  0.4224 
   00022    0.4100   -1155.8286  0.4339 
   00023    0.4575   -1137.6119  0.4432 
   00024    0.4500   -1139.4763  0.4489 
   00025    0.4525   -1157.3930  0.4683 
   00026    0.4375   -1149.0456  0.4876 
   00027    0.4475   -1131.8360  0.4931 
   00028    0.4100   -1166.9218  0.5150 
   00029    0.3775   -1165.7220  0.5201 
   00030    0.4650   -1167.7157  0.5293 
   00031    0.4400   -1153.8572  0.5203 
   00032    0.4525   -1182.4493  0.5195 
   00033    0.4325   -1207.1987  0.5315 
   00034    0.4325   -1199.2367  0.5215 
   00035    0.4075   -1188.3965  0.5223 
   00036    0.4200   -1165.8280  0.5140 
   00037    0.4225   -1193.3887  0.5179 
   00038    0.4275   -1163.4062  0.5030 
   00039    0.4150   -1181.1408  0.4911 
   00040    0.4325   -1168.7963  0.4585 
   00041    0.4225   -1161.9179  0.4691 
   00042    0.3800   -1163.0804  0.4707 
   00043    0.4000   -1132.1164  0.4758 
   00044    0.4400   -1145.9267  0.4917 
   00045    0.4300   -1142.5090  0.4968 
   00046    0.3975   -1169.5875  0.5104 
   00047    0.4175   -1166.8217  0.5120 
   00048    0.4500   -1150.6230  0.5130 
   00049    0.4275   -1148.6730  0.4909 
   00050    0.4275   -1144.2312  0.4721 
   00051    0.4250   -1161.0777  0.4837 
   00052    0.4700   -1169.2032  0.5034 
   00053    0.3775   -1176.2444  0.5084 
   00054    0.3975   -1162.5184  0.5248 
   00055    0.4250   -1144.0813  0.5385 
   00056    0.4250   -1146.5573  0.5366 
   00057    0.4225   -1165.0342  0.5425 
   00058    0.3900   -1155.5313  0.5598 
   00059    0.4525   -1159.0101  0.5469 
   00060    0.4150   -1184.1501  0.5783 
   00061    0.4200   -1170.0459  0.5757 
   00062    0.4450   -1164.7940  0.5527 
   00063    0.3925   -1163.3399  0.5656 
   00064    0.4075   -1158.6396  0.5742 
   00065    0.4050   -1182.3393  0.5924 
   00066    0.4550   -1183.5813  0.6127 
