#=====================================================
# File created:        Sun-10-Mar-2024-at-03-26-52PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.816998
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -27.8554  0.2798 
   00001    0.4800     -39.9636  0.4527 
   00002    0.7200     -44.0465  0.3900 
   00003    0.5200     -43.4867  0.4279 
   00004    0.5200     -49.2053  0.5697 
   00005    0.5600     -56.5935  0.6163 
   00006    0.6000     -52.1662  0.5566 
   00007    0.5200     -57.2472  0.5151 
   00008    0.4800     -62.7786  0.5683 
   00009    0.6000     -64.9147  0.5829 
   00010    0.4000     -63.2896  0.6071 
   00011    0.5600     -65.6118  0.7436 
   00012    0.4800     -71.0664  0.8104 
   00013    0.6000     -79.7312  0.8705 
   00014    0.3200     -79.9935  0.8795 
   00015    0.4800     -75.5339  0.8428 
   00016    0.6400     -76.0162  0.8444 
   00017    0.2400     -74.4583  0.8238 
   00018    0.3600     -73.1127  0.8168 
   00019    0.6000     -75.5172  0.8701 
   00020    0.4400     -80.3233  0.9009 
   00021    0.6000     -68.0879  0.8038 
   00022    0.4800     -65.6567  0.7578 
   00023    0.4400     -64.5385  0.7484 
   00024    0.4800     -72.8988  0.8044 
   00025    0.3600     -74.3233  0.8060 
   00026    0.3600     -79.1986  0.8540 
   00027    0.3600     -80.4420  0.8669 
   00028    0.2800     -81.7128  0.8858 
   00029    0.2000     -83.9315  0.9078 
   00030    0.3200     -80.2295  0.8836 
   00031    0.2800     -85.6900  0.9008 
   00032    0.3600     -87.9479  0.9167 
   00033    0.2800     -83.2505  0.8950 
   00034    0.4400     -85.9178  0.9097 
   00035    0.4800     -81.7856  0.8966 
   00036    0.6400     -84.8087  0.8947 
   00037    0.4400     -82.3748  0.8908 
   00038    0.3600     -83.0238  0.8893 
   00039    0.3600     -83.8533  0.8890 
   00040    0.3600     -82.5746  0.8840 
   00041    0.3200     -86.7707  0.9150 
   00042    0.3600     -87.3291  0.9268 
   00043    0.2800     -86.5668  0.9215 
   00044    0.3600     -86.8005  0.9158 
   00045    0.4000     -86.2108  0.9178 
   00046    0.2400     -88.2994  0.9245 
   00047    0.3200     -87.8981  0.9187 
   00048    0.4000     -86.1475  0.9040 
   00049    0.6000     -79.4820  0.8757 
   00050    0.4000     -77.2959  0.8585 
   00051    0.3600     -74.9835  0.8444 
   00052    0.3200     -74.7418  0.8472 
   00053    0.3200     -78.9303  0.8808 
   00054    0.4400     -82.1016  0.8996 
   00055    0.3200     -84.0786  0.8978 
   00056    0.3200     -87.4296  0.8922 
   00057    0.3600     -89.3713  0.9119 
   00058    0.4400     -85.4043  0.8950 
   00059    0.3600     -82.9993  0.8743 
   00060    0.2800     -86.4010  0.8890 
   00061    0.4000     -85.7171  0.8821 
   00062    0.5600     -82.1877  0.8893 
   00063    0.4000     -80.0274  0.8389 
   00064    0.6000     -85.6559  0.9078 
   00065    0.4400     -82.8000  0.8815 
   00066    0.4000     -84.8763  0.8969 
   00067    0.2800     -84.5585  0.8966 
   00068    0.4000     -89.7028  0.9308 
   00069    0.3200     -89.1609  0.9210 
   00070    0.2400     -87.8269  0.9201 
   00071    0.4400     -82.1797  0.8731 
   00072    0.3600     -86.5974  0.9160 
   00073    0.3200     -86.9415  0.9120 
   00074    0.2400     -87.1350  0.9257 
   00075    0.4000     -85.6276  0.9248 
   00076    0.4000     -83.4151  0.9252 
   00077    0.3600     -86.0502  0.9238 
   00078    0.2800     -87.9385  0.9354 
   00079    0.4800     -84.9481  0.9027 
   00080    0.4400     -85.3559  0.9108 
   00081    0.5600     -89.1181  0.9249 
   00082    0.2000     -90.8172  0.9225 
   00083    0.4400     -87.5261  0.9235 
   00084    0.3200     -86.7283  0.9182 
   00085    0.3600     -86.2691  0.9089 
   00086    0.3600     -87.4084  0.9184 
   00087    0.4800     -87.5415  0.9243 
   00088    0.2400     -89.6137  0.9454 
   00089    0.4000     -90.3966  0.9455 
   00090    0.2400     -88.5971  0.9334 
   00091    0.5200     -84.6189  0.9000 
   00092    0.4400     -86.5664  0.9265 
   00093    0.4800     -88.8055  0.9186 
   00094    0.3200     -89.8714  0.9297 
   00095    0.2800     -90.0150  0.9362 
   00096    0.4400     -90.8552  0.9329 
   00097    0.1600     -90.3075  0.9324 
   00098    0.4400     -87.5000  0.9145 
   00099    0.3200     -81.9397  0.8916 
   00100    0.4400     -71.6319  0.8166 
   00101    0.6000     -70.6985  0.8104 
   00102    0.4800     -70.7719  0.8123 
   00103    0.5600     -66.9913  0.7532 
   00104    0.5200     -69.8642  0.7523 
   00105    0.4000     -71.8554  0.8088 
   00106    0.5200     -77.1652  0.8441 
   00107    0.2000     -77.2741  0.8513 
   00108    0.4400     -81.0338  0.8733 
   00109    0.4400     -84.1862  0.9039 
   00110    0.5600     -78.2119  0.8671 
   00111    0.2400     -75.2491  0.8223 
   00112    0.2800     -80.1009  0.8719 
   00113    0.2800     -72.2611  0.8010 
   00114    0.4400     -75.5727  0.7856 
   00115    0.3600     -78.8806  0.8377 
   00116    0.4400     -78.1252  0.8362 
   00117    0.2800     -77.9747  0.8713 
   00118    0.4400     -78.2845  0.8562 
   00119    0.4400     -83.5871  0.8953 
   00120    0.3600     -89.0931  0.9292 
   00121    0.4400     -86.4300  0.9196 
   00122    0.2400     -84.2495  0.9189 
   00123    0.3600     -80.5638  0.8875 
   00124    0.4000     -88.1317  0.9216 
   00125    0.5600     -90.5473  0.9246 
   00126    0.3200     -82.6377  0.8707 
   00127    0.3600     -79.3301  0.8502 
   00128    0.2000     -79.6600  0.8354 
   00129    0.3600     -87.0913  0.8844 
   00130    0.2000     -88.6990  0.9032 
   00131    0.4400     -88.7354  0.9130 
   00132    0.2400     -89.4720  0.9205 
   00133    0.3200     -90.3267  0.9273 
   00134    0.3600     -89.1651  0.9331 
   00135    0.2800     -88.5781  0.9316 
   00136    0.2000     -87.2820  0.9195 
   00137    0.3600     -87.4372  0.9267 
   00138    0.5200     -83.5323  0.8851 
   00139    0.2400     -80.2349  0.8643 
   00140    0.3600     -77.9936  0.8517 
   00141    0.4000     -78.4085  0.8616 
   00142    0.3600     -82.4095  0.8701 
   00143    0.2800     -83.5408  0.9046 
   00144    0.2400     -82.4502  0.9132 
   00145    0.3200     -89.1454  0.9357 
   00146    0.5200     -85.5407  0.9143 
   00147    0.4000     -85.5872  0.9223 
   00148    0.3600     -85.8755  0.8942 
   00149    0.3600     -84.8274  0.8881 
   00150    0.4000     -86.4151  0.8741 
   00151    0.4000     -86.8821  0.8846 
   00152    0.4800     -86.3399  0.8735 
   00153    0.3600     -83.6982  0.8373 
