#=====================================================
# File created:        Sun-10-Mar-2024-at-07-28-05PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.665886
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -364.6282  0.2837 
   00001    0.6725    -621.8990  0.3002 
   00002    0.5700    -767.5649  0.3100 
   00003    0.5400    -852.4567  0.3403 
   00004    0.5550    -887.3889  0.3350 
   00005    0.5150    -942.3995  0.3490 
   00006    0.5000    -955.6427  0.3545 
   00007    0.4900    -983.1151  0.3603 
   00008    0.4475    -974.4474  0.3462 
   00009    0.4975   -1005.9169  0.3473 
   00010    0.4950   -1021.7695  0.3684 
   00011    0.4600   -1055.4656  0.3993 
   00012    0.4750   -1060.5910  0.4287 
   00013    0.4850   -1075.7052  0.4866 
   00014    0.4750   -1088.3206  0.4855 
   00015    0.4675   -1088.4641  0.5075 
   00016    0.4575   -1100.8964  0.5332 
   00017    0.4350   -1107.1549  0.5225 
   00018    0.4975   -1125.6991  0.5328 
   00019    0.4500   -1122.6037  0.5301 
   00020    0.4600   -1119.2433  0.5191 
   00021    0.4550   -1136.7454  0.5485 
   00022    0.4275   -1156.9778  0.5561 
   00023    0.4300   -1175.7987  0.5632 
   00024    0.4325   -1173.9902  0.5893 
   00025    0.4350   -1140.2231  0.5725 
   00026    0.4475   -1154.7571  0.5868 
   00027    0.4200   -1161.4874  0.5816 
   00028    0.4175   -1165.7129  0.5869 
   00029    0.4250   -1198.0925  0.5967 
   00030    0.3800   -1206.2169  0.6040 
   00031    0.4175   -1183.2504  0.5948 
   00032    0.3825   -1189.5203  0.5961 
   00033    0.4475   -1189.1439  0.6097 
   00034    0.4125   -1201.4614  0.6272 
   00035    0.4775   -1204.5812  0.6171 
   00036    0.4325   -1207.9022  0.6307 
   00037    0.4500   -1208.6752  0.6301 
   00038    0.3975   -1211.3478  0.6393 
   00039    0.3700   -1196.3668  0.6609 
   00040    0.4175   -1181.5032  0.6564 
   00041    0.4000   -1195.5234  0.6695 
   00042    0.4000   -1212.5467  0.6574 
   00043    0.4125   -1216.4825  0.6557 
   00044    0.4375   -1248.8980  0.6652 
   00045    0.3525   -1241.5907  0.6770 
   00046    0.4100   -1230.5405  0.6721 
   00047    0.4600   -1249.1835  0.6889 
   00048    0.4025   -1250.7432  0.7075 
   00049    0.4150   -1229.0797  0.7102 
   00050    0.4650   -1272.8831  0.7287 
   00051    0.4225   -1275.0915  0.7200 
   00052    0.3925   -1271.8121  0.7202 
   00053    0.4225   -1269.8189  0.7296 
   00054    0.3875   -1265.6132  0.7268 
   00055    0.3925   -1261.0729  0.7274 
   00056    0.4100   -1277.1667  0.7429 
   00057    0.3550   -1304.7524  0.7550 
   00058    0.4050   -1293.1252  0.7459 
   00059    0.4250   -1304.5837  0.7418 
   00060    0.4100   -1312.1509  0.7428 
   00061    0.3650   -1308.4613  0.7420 
   00062    0.3875   -1296.8874  0.7455 
   00063    0.3800   -1279.4504  0.7332 
   00064    0.4125   -1255.7269  0.7106 
   00065    0.3750   -1253.5953  0.7193 
   00066    0.3900   -1289.2834  0.7289 
   00067    0.4025   -1270.1202  0.7287 
   00068    0.3775   -1275.1562  0.7355 
   00069    0.3950   -1286.8033  0.7251 
   00070    0.4075   -1300.1518  0.7282 
   00071    0.4000   -1295.5791  0.7284 
   00072    0.4025   -1298.9359  0.7352 
   00073    0.4125   -1299.0405  0.7315 
   00074    0.3800   -1273.7593  0.7201 
   00075    0.4250   -1280.0607  0.7313 
   00076    0.4125   -1285.3563  0.7390 
   00077    0.4075   -1269.3372  0.7286 
   00078    0.4100   -1281.1094  0.7230 
   00079    0.4425   -1267.8117  0.7144 
   00080    0.4050   -1265.4434  0.7263 
   00081    0.3925   -1254.0200  0.7234 
   00082    0.4000   -1235.6966  0.7113 
   00083    0.4100   -1230.3536  0.7056 
   00084    0.4075   -1271.2705  0.7169 
   00085    0.3725   -1236.4474  0.7065 
   00086    0.4450   -1232.2266  0.7057 
   00087    0.4400   -1262.5460  0.7122 
   00088    0.3825   -1243.3413  0.7102 
   00089    0.3850   -1266.1748  0.7179 
   00090    0.4050   -1256.8097  0.7015 
   00091    0.4425   -1246.8729  0.6841 
   00092    0.4225   -1254.4478  0.6919 
   00093    0.3750   -1245.7107  0.6801 
   00094    0.3750   -1243.9131  0.6973 
   00095    0.4375   -1247.4745  0.7119 
   00096    0.3900   -1233.5381  0.7123 
   00097    0.4275   -1234.1474  0.7035 
   00098    0.3825   -1244.6019  0.7005 
   00099    0.3950   -1254.0628  0.7200 
   00100    0.3825   -1265.5117  0.7393 
   00101    0.4025   -1286.5616  0.7442 
   00102    0.3975   -1261.0271  0.7298 
   00103    0.4450   -1278.3859  0.7369 
   00104    0.3775   -1265.0281  0.7251 
   00105    0.4100   -1268.5020  0.7248 
   00106    0.3625   -1260.5813  0.7239 
   00107    0.3875   -1291.6612  0.7267 
   00108    0.3925   -1276.9007  0.7208 
   00109    0.4300   -1278.0735  0.7483 
   00110    0.3925   -1277.2290  0.7544 
   00111    0.4525   -1278.5223  0.7467 
   00112    0.3575   -1299.8429  0.7520 
   00113    0.4025   -1281.6372  0.7209 
   00114    0.4250   -1252.4400  0.7240 
   00115    0.4025   -1253.3091  0.7306 
   00116    0.4325   -1247.5485  0.7341 
   00117    0.3625   -1263.6833  0.7442 
   00118    0.3700   -1283.9912  0.7467 
   00119    0.4050   -1290.8114  0.7520 
   00120    0.3850   -1251.4422  0.7359 
   00121    0.4100   -1267.8532  0.7455 
   00122    0.3975   -1285.1171  0.7467 
   00123    0.3625   -1278.2139  0.7454 
   00124    0.4100   -1271.9707  0.7464 
   00125    0.3825   -1259.8404  0.7362 
   00126    0.3975   -1279.9799  0.7384 
   00127    0.4250   -1261.0430  0.7446 
   00128    0.3925   -1273.9447  0.7458 
   00129    0.3875   -1262.7152  0.7356 
   00130    0.4425   -1250.6158  0.7343 
   00131    0.4125   -1265.9217  0.7222 
   00132    0.4075   -1257.0104  0.7337 
   00133    0.4125   -1253.8663  0.7403 
   00134    0.4050   -1282.1048  0.7582 
   00135    0.3850   -1296.4179  0.7590 
   00136    0.3950   -1296.5050  0.7628 
   00137    0.4075   -1260.6928  0.7598 
   00138    0.4475   -1269.2758  0.7708 
   00139    0.4525   -1257.0821  0.7608 
   00140    0.4100   -1276.7019  0.7773 
   00141    0.4075   -1279.7478  0.7770 
   00142    0.3425   -1269.3071  0.7766 
   00143    0.3950   -1268.3829  0.7723 
   00144    0.4200   -1265.5067  0.7625 
   00145    0.3825   -1271.2505  0.7736 
   00146    0.4200   -1275.5912  0.7829 
   00147    0.3775   -1290.9699  0.8091 
   00148    0.3750   -1286.4333  0.8073 
   00149    0.4175   -1277.7288  0.8015 
   00150    0.3825   -1298.7827  0.8132 
   00151    0.3850   -1285.8939  0.7941 
   00152    0.4350   -1283.1505  0.7930 
   00153    0.4300   -1292.9084  0.7985 
   00154    0.3575   -1288.0834  0.7890 
   00155    0.3775   -1295.8528  0.8029 
   00156    0.4025   -1310.3839  0.8098 
   00157    0.3425   -1318.0591  0.8171 
   00158    0.4000   -1315.5763  0.8144 
