#=====================================================
# File created:        Sun-10-Mar-2024-at-03-36-44PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.275890
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -376.6570  0.2847 
   00001    0.5575    -393.9588  0.2949 
   00002    0.4775    -373.8451  0.2947 
   00003    0.4950    -383.2966  0.3118 
   00004    0.4750    -367.5683  0.2981 
   00005    0.5425    -428.3452  0.3188 
   00006    0.4725    -426.4987  0.3238 
   00007    0.5275    -433.6323  0.3017 
   00008    0.5225    -433.1995  0.3019 
   00009    0.5150    -443.5561  0.3059 
   00010    0.5375    -446.9694  0.3145 
   00011    0.4775    -443.5984  0.3060 
   00012    0.4825    -447.8556  0.2905 
   00013    0.4700    -434.4545  0.3089 
   00014    0.4575    -427.3332  0.2798 
   00015    0.4400    -405.3398  0.2715 
   00016    0.5350    -441.6911  0.2643 
   00017    0.4750    -406.9976  0.2626 
   00018    0.5175    -464.2003  0.2695 
   00019    0.5350    -478.5051  0.2732 
   00020    0.4700    -474.9724  0.2930 
   00021    0.3700    -475.3060  0.3043 
   00022    0.4275    -491.6209  0.3014 
   00023    0.4525    -441.2505  0.2771 
   00024    0.5250    -447.2855  0.2683 
   00025    0.4475    -423.1184  0.2718 
   00026    0.4825    -415.2010  0.2589 
   00027    0.5450    -410.9424  0.2762 
   00028    0.4650    -407.8208  0.2584 
   00029    0.5000    -372.5225  0.2701 
   00030    0.5325    -321.7060  0.2841 
   00031    0.5325    -359.0811  0.2755 
   00032    0.5325    -360.4052  0.2770 
   00033    0.5100    -325.8996  0.2940 
   00034    0.5525    -339.2242  0.2796 
   00035    0.5700    -360.3094  0.2849 
   00036    0.5100    -370.6358  0.2931 
   00037    0.4300    -378.8749  0.2967 
   00038    0.5075    -428.2346  0.2715 
   00039    0.4850    -378.8454  0.2636 
   00040    0.5275    -429.8718  0.2956 
   00041    0.5325    -423.1636  0.3345 
   00042    0.5150    -443.9569  0.3226 
   00043    0.4700    -431.3741  0.3367 
   00044    0.4900    -405.6253  0.3186 
   00045    0.5050    -387.3262  0.3283 
   00046    0.5275    -324.6488  0.2816 
   00047    0.5400    -328.7609  0.2863 
   00048    0.6325    -394.9442  0.2847 
   00049    0.4925    -410.3539  0.2895 
   00050    0.5000    -396.0873  0.2768 
   00051    0.5350    -420.9613  0.2644 
   00052    0.4650    -442.0241  0.2639 
   00053    0.4300    -450.7959  0.2743 
   00054    0.4200    -431.4426  0.2705 
   00055    0.4375    -405.0861  0.2884 
   00056    0.4575    -402.1403  0.2787 
   00057    0.4925    -390.4780  0.2597 
   00058    0.5450    -330.1494  0.2592 
   00059    0.5100    -351.9805  0.2680 
   00060    0.4725    -372.0725  0.2694 
   00061    0.4450    -348.5659  0.2560 
   00062    0.4800    -360.6306  0.2638 
   00063    0.5625    -422.0852  0.2693 
   00064    0.4800    -384.8752  0.2676 
   00065    0.5350    -423.3098  0.2796 
   00066    0.4700    -420.9358  0.2900 
   00067    0.5375    -448.5338  0.2694 
   00068    0.4850    -453.7711  0.2687 
   00069    0.5700    -467.3766  0.2809 
   00070    0.4150    -422.8111  0.2508 
   00071    0.5225    -423.4314  0.2830 
   00072    0.4625    -383.4578  0.2852 
   00073    0.5000    -364.8953  0.2911 
   00074    0.5750    -428.4576  0.2763 
   00075    0.5625    -441.2212  0.2508 
   00076    0.5250    -416.1646  0.2981 
   00077    0.5000    -387.1068  0.3018 
   00078    0.4875    -391.0208  0.2812 
   00079    0.5550    -390.6201  0.2711 
   00080    0.5050    -348.8540  0.2792 
   00081    0.5700    -364.8791  0.2868 
   00082    0.5075    -386.9612  0.2806 
