#=====================================================
# File created:        Sat-09-Mar-2024-at-11-44-05PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.100
# Run time (s):        9.162981
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -409.2155  0.2898 
   00001    0.6800    -511.6588  0.3097 
   00002    0.6625    -577.1126  0.3214 
   00003    0.6450    -655.8165  0.3330 
   00004    0.5875    -719.5058  0.3482 
   00005    0.5375    -782.7503  0.3535 
   00006    0.5450    -836.2094  0.3592 
   00007    0.5375    -897.9935  0.3768 
   00008    0.5525    -945.0547  0.3865 
   00009    0.5775   -1008.7967  0.3912 
   00010    0.5500   -1054.3687  0.3961 
   00011    0.5550   -1087.1380  0.4000 
   00012    0.5125   -1117.2643  0.4031 
   00013    0.5725   -1149.5506  0.4018 
   00014    0.5150   -1187.2266  0.4203 
   00015    0.5275   -1208.5308  0.4261 
   00016    0.5225   -1228.6702  0.4279 
   00017    0.5625   -1253.7992  0.4240 
   00018    0.5150   -1276.1109  0.4245 
   00019    0.5050   -1293.8181  0.4298 
   00020    0.5775   -1302.2979  0.4258 
   00021    0.4825   -1323.9722  0.4313 
   00022    0.5050   -1331.8091  0.4332 
   00023    0.5725   -1348.2839  0.4373 
   00024    0.4725   -1355.5227  0.4375 
   00025    0.5175   -1362.1846  0.4420 
   00026    0.4875   -1369.9012  0.4425 
   00027    0.4600   -1374.5724  0.4475 
   00028    0.5475   -1383.0907  0.4514 
   00029    0.5250   -1388.7046  0.4589 
   00030    0.4725   -1394.4389  0.4571 
   00031    0.5150   -1394.0163  0.4605 
   00032    0.4925   -1396.2710  0.4590 
   00033    0.5000   -1400.2670  0.4600 
   00034    0.5400   -1409.8189  0.4593 
   00035    0.4975   -1412.4321  0.4571 
   00036    0.5300   -1412.3341  0.4632 
   00037    0.4775   -1419.7650  0.4574 
   00038    0.5250   -1419.4510  0.4513 
   00039    0.5025   -1422.1513  0.4500 
   00040    0.5200   -1423.9414  0.4540 
   00041    0.5450   -1425.1535  0.4560 
   00042    0.5175   -1427.6150  0.4650 
   00043    0.4850   -1428.3695  0.4668 
   00044    0.5225   -1428.3795  0.4593 
   00045    0.4725   -1427.1493  0.4558 
   00046    0.5150   -1433.6478  0.4683 
   00047    0.4600   -1439.5204  0.4730 
   00048    0.5100   -1443.2417  0.4824 
   00049    0.4825   -1445.4220  0.4933 
   00050    0.5225   -1449.3215  0.5017 
   00051    0.4900   -1451.8130  0.5049 
   00052    0.4325   -1452.8315  0.5102 
   00053    0.4675   -1451.9577  0.5148 
   00054    0.4700   -1453.1291  0.5151 
   00055    0.5275   -1457.5356  0.5174 
   00056    0.4700   -1459.1145  0.5211 
   00057    0.4975   -1464.1683  0.5224 
   00058    0.5225   -1464.5516  0.5238 
   00059    0.5175   -1466.0512  0.5248 
   00060    0.4900   -1472.5026  0.5217 
   00061    0.4750   -1473.8540  0.5231 
   00062    0.5025   -1474.6834  0.5358 
   00063    0.4800   -1473.0545  0.5420 
   00064    0.5000   -1476.1114  0.5446 
   00065    0.5125   -1480.7674  0.5481 
   00066    0.4550   -1482.0485  0.5462 
   00067    0.4925   -1483.5086  0.5534 
   00068    0.4850   -1484.3629  0.5562 
   00069    0.4950   -1484.4649  0.5615 
