#=====================================================
# File created:        Fri-08-Mar-2024-at-05-45-53PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.253626
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -85.7175  0.3018 
   00001    0.7900    -144.3377  0.4466 
   00002    0.5900    -188.1278  0.5070 
   00003    0.6100    -188.4743  0.4965 
   00004    0.5800    -220.4604  0.5579 
   00005    0.4800    -232.3416  0.6138 
   00006    0.4600    -236.7891  0.6491 
   00007    0.4900    -240.1314  0.6398 
   00008    0.5200    -236.5615  0.5964 
   00009    0.4400    -245.6248  0.5785 
   00010    0.4300    -251.6083  0.6173 
   00011    0.4200    -253.3694  0.5978 
   00012    0.5100    -250.1800  0.5602 
   00013    0.5500    -217.7577  0.5186 
   00014    0.5400    -213.5643  0.5429 
   00015    0.5400    -220.2432  0.4884 
   00016    0.5000    -231.3398  0.4800 
   00017    0.4200    -230.3400  0.4429 
   00018    0.5600    -231.3777  0.3992 
   00019    0.5800    -216.2275  0.4361 
   00020    0.5900    -216.0561  0.3157 
   00021    0.5100    -211.5395  0.3909 
   00022    0.5200    -210.5236  0.3900 
   00023    0.4900    -218.9409  0.3472 
   00024    0.5800    -231.8990  0.4080 
   00025    0.4600    -233.3603  0.4284 
   00026    0.5700    -232.1789  0.3624 
   00027    0.5200    -247.5781  0.3992 
   00028    0.4400    -248.0829  0.4103 
   00029    0.6000    -235.9805  0.4181 
   00030    0.4200    -244.7106  0.4205 
   00031    0.4700    -226.4915  0.4138 
   00032    0.5700    -224.6636  0.3975 
   00033    0.6100    -234.0365  0.5136 
   00034    0.4600    -236.1424  0.5142 
   00035    0.5200    -236.9436  0.5809 
   00036    0.4400    -255.6173  0.6235 
   00037    0.4000    -249.2960  0.6424 
   00038    0.4600    -247.6120  0.6597 
   00039    0.4600    -254.5133  0.6745 
   00040    0.5000    -250.6133  0.6679 
   00041    0.3500    -253.2062  0.6768 
   00042    0.4500    -268.1925  0.7405 
   00043    0.3900    -276.4933  0.7225 
   00044    0.4000    -264.8959  0.7157 
   00045    0.4600    -278.4094  0.7399 
   00046    0.4300    -263.4013  0.7228 
   00047    0.4900    -260.7055  0.6738 
   00048    0.4700    -265.5345  0.7085 
   00049    0.4500    -260.6974  0.6582 
   00050    0.5800    -238.5575  0.6774 
   00051    0.4300    -259.4546  0.7232 
   00052    0.4500    -238.6906  0.6622 
   00053    0.4500    -252.1328  0.6727 
   00054    0.4400    -233.7709  0.6496 
   00055    0.4600    -228.9564  0.6134 
   00056    0.5700    -221.7369  0.5894 
   00057    0.5400    -219.0480  0.5562 
   00058    0.4500    -225.1873  0.5722 
   00059    0.4600    -226.8441  0.5544 
   00060    0.5000    -219.8589  0.5139 
   00061    0.6100    -219.1558  0.4390 
   00062    0.5700    -239.9572  0.3717 
   00063    0.4700    -233.3550  0.3804 
   00064    0.4600    -237.2268  0.3576 
   00065    0.3900    -220.2594  0.3817 
   00066    0.5800    -217.4241  0.4186 
   00067    0.4400    -213.8191  0.4299 
   00068    0.5600    -225.7387  0.4925 
   00069    0.5400    -218.4723  0.4818 
   00070    0.4800    -241.5143  0.5793 
   00071    0.5600    -233.2421  0.5309 
   00072    0.5200    -224.8343  0.5243 
   00073    0.5200    -239.3614  0.6577 
   00074    0.4300    -239.6757  0.6143 
   00075    0.5200    -233.6572  0.6471 
   00076    0.4200    -260.4360  0.6800 
   00077    0.5000    -251.5473  0.6506 
   00078    0.4900    -232.3241  0.6437 
   00079    0.4200    -233.0671  0.6588 
   00080    0.4900    -261.1681  0.6659 
   00081    0.3800    -273.8105  0.7110 
   00082    0.4600    -274.3000  0.7075 
   00083    0.4000    -258.2757  0.6561 
   00084    0.4700    -262.8976  0.6507 
   00085    0.4700    -266.3556  0.6562 
   00086    0.5300    -231.1228  0.5467 
   00087    0.5000    -225.3569  0.5052 
   00088    0.3900    -223.5621  0.5188 
   00089    0.5300    -232.5650  0.5550 
   00090    0.4700    -239.2430  0.6055 
   00091    0.4400    -257.3044  0.6317 
   00092    0.4500    -267.4101  0.6440 
   00093    0.4300    -272.2084  0.6543 
   00094    0.3100    -266.7252  0.6766 
   00095    0.4800    -275.7734  0.6721 
   00096    0.4700    -276.6963  0.6567 
   00097    0.4600    -253.0511  0.6106 
   00098    0.5400    -244.4410  0.5850 
   00099    0.4500    -266.8081  0.6205 
   00100    0.4300    -275.6876  0.6343 
