#=====================================================
# File created:        Fri-08-Mar-2024-at-05-50-15PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.220118
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -118.2030  0.3454 
   00001    0.6300    -166.1793  0.3389 
   00002    0.6100    -159.3998  0.2864 
   00003    0.6700    -187.0892  0.3165 
   00004    0.5700    -222.9910  0.3891 
   00005    0.4600    -239.1324  0.4014 
   00006    0.4700    -235.9090  0.3830 
   00007    0.4900    -224.1268  0.4547 
   00008    0.5000    -217.7491  0.4067 
   00009    0.4900    -229.4941  0.4418 
   00010    0.4700    -229.9738  0.4173 
   00011    0.4200    -217.8682  0.3165 
   00012    0.5100    -233.2072  0.3676 
   00013    0.5800    -250.5453  0.3937 
   00014    0.5900    -243.7461  0.3846 
   00015    0.4600    -243.8335  0.3937 
   00016    0.5300    -254.3925  0.4109 
   00017    0.5300    -249.5732  0.4364 
   00018    0.5200    -252.8465  0.4575 
   00019    0.4100    -246.9727  0.4307 
   00020    0.4200    -254.5602  0.4153 
   00021    0.4700    -254.5278  0.4408 
   00022    0.4400    -252.1525  0.4611 
   00023    0.4400    -245.6939  0.4441 
   00024    0.5000    -234.2246  0.4119 
   00025    0.5200    -226.8177  0.4326 
   00026    0.5000    -223.8257  0.3767 
   00027    0.4600    -217.7619  0.3238 
   00028    0.5000    -223.7319  0.2935 
   00029    0.6400    -218.1354  0.2822 
   00030    0.4900    -225.8952  0.3382 
   00031    0.5900    -217.5575  0.4978 
   00032    0.4700    -236.5584  0.4600 
   00033    0.4400    -233.0060  0.4287 
   00034    0.5200    -231.0499  0.3942 
   00035    0.5000    -217.2575  0.3834 
   00036    0.4500    -216.0342  0.3313 
   00037    0.5600    -214.7384  0.4020 
   00038    0.6100    -224.2602  0.3680 
   00039    0.6200    -225.7505  0.3760 
   00040    0.4800    -239.1601  0.3940 
   00041    0.5500    -239.4310  0.4026 
   00042    0.4700    -243.9536  0.4235 
   00043    0.5600    -240.1572  0.4777 
   00044    0.4000    -236.1069  0.4611 
   00045    0.5000    -222.7443  0.4858 
   00046    0.5200    -215.3705  0.4841 
   00047    0.5000    -203.8394  0.4960 
   00048    0.5500    -221.0623  0.5043 
   00049    0.6300    -205.6748  0.4978 
   00050    0.5000    -219.3093  0.5011 
   00051    0.5400    -237.0400  0.5155 
   00052    0.5300    -239.0022  0.4552 
   00053    0.5200    -219.2079  0.4080 
   00054    0.4900    -230.6888  0.4103 
   00055    0.5600    -227.5216  0.4217 
   00056    0.5200    -233.9951  0.4411 
   00057    0.4100    -233.6719  0.4453 
   00058    0.5900    -234.7370  0.4151 
   00059    0.4700    -224.6911  0.3470 
   00060    0.5200    -230.7279  0.3331 
   00061    0.5500    -231.3128  0.2789 
   00062    0.5000    -216.1282  0.3494 
   00063    0.4700    -226.6437  0.3293 
   00064    0.5900    -220.5313  0.2847 
   00065    0.5700    -222.9661  0.2786 
   00066    0.5100    -224.4388  0.3166 
   00067    0.6000    -228.1860  0.2977 
   00068    0.4600    -232.9435  0.3650 
   00069    0.5200    -229.5803  0.3147 
   00070    0.4500    -245.8077  0.3251 
   00071    0.4900    -228.9958  0.2624 
   00072    0.5300    -230.8935  0.3182 
   00073    0.5300    -241.7567  0.3553 
   00074    0.4700    -224.1060  0.3458 
   00075    0.5000    -240.5478  0.3197 
   00076    0.5600    -236.2818  0.3425 
   00077    0.5200    -222.6888  0.3985 
   00078    0.6000    -225.2570  0.4490 
   00079    0.4600    -224.3370  0.4264 
   00080    0.4700    -220.1093  0.4043 
   00081    0.6000    -216.5698  0.4537 
   00082    0.5300    -216.8914  0.5033 
   00083    0.4100    -246.9454  0.5547 
   00084    0.5300    -244.4658  0.5275 
   00085    0.5100    -261.5031  0.5337 
   00086    0.3500    -269.0025  0.5222 
   00087    0.3800    -266.6705  0.4873 
   00088    0.4000    -261.9002  0.5101 
   00089    0.4800    -246.5999  0.4917 
   00090    0.4200    -221.6552  0.4529 
   00091    0.4800    -213.0368  0.3957 
   00092    0.5500    -210.9190  0.3248 
   00093    0.5700    -232.4612  0.3314 
   00094    0.5500    -213.1419  0.3614 
   00095    0.5300    -239.3238  0.3662 
   00096    0.5500    -233.2419  0.3650 
   00097    0.4100    -251.8707  0.3617 
   00098    0.3700    -251.7661  0.3445 
   00099    0.4200    -238.0076  0.3705 
   00100    0.5700    -235.2152  0.4351 
