#=====================================================
# File created:        Fri-08-Mar-2024-at-05-50-34PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.210257
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -116.6870  0.3725 
   00001    0.6700    -145.6676  0.4162 
   00002    0.6200    -182.5402  0.3965 
   00003    0.6400    -191.8915  0.4171 
   00004    0.5500    -191.2825  0.4938 
   00005    0.6600    -192.1844  0.4838 
   00006    0.7000    -182.0679  0.4186 
   00007    0.6100    -200.6860  0.3307 
   00008    0.5400    -202.0408  0.3152 
   00009    0.5400    -198.2945  0.3199 
   00010    0.4800    -217.6803  0.3381 
   00011    0.4700    -223.5517  0.3548 
   00012    0.5700    -222.3684  0.3799 
   00013    0.5400    -246.4436  0.4436 
   00014    0.5100    -253.0036  0.4721 
   00015    0.4800    -251.1269  0.4834 
   00016    0.4400    -254.2659  0.4523 
   00017    0.4100    -237.3134  0.4485 
   00018    0.5300    -233.2416  0.4039 
   00019    0.3900    -244.7915  0.4349 
   00020    0.5000    -241.3591  0.4261 
   00021    0.5200    -234.8268  0.4602 
   00022    0.5300    -254.1573  0.4757 
   00023    0.4400    -248.6904  0.4477 
   00024    0.4300    -240.5914  0.4566 
   00025    0.5300    -235.4697  0.4603 
   00026    0.4500    -230.7192  0.4904 
   00027    0.5300    -235.0778  0.4938 
   00028    0.5000    -241.0811  0.4892 
   00029    0.5100    -249.6338  0.4771 
   00030    0.5300    -235.4276  0.4413 
   00031    0.5200    -247.4091  0.4802 
   00032    0.4800    -255.5863  0.5043 
   00033    0.4500    -235.4258  0.4704 
   00034    0.4700    -231.8139  0.5175 
   00035    0.4100    -225.1639  0.4778 
   00036    0.4900    -232.4061  0.5568 
   00037    0.4500    -230.6055  0.5404 
   00038    0.5500    -214.7428  0.5491 
   00039    0.5000    -196.9646  0.4664 
   00040    0.5800    -197.1761  0.4496 
   00041    0.5100    -225.8384  0.5063 
   00042    0.5300    -227.6370  0.4897 
   00043    0.5000    -227.1790  0.4395 
   00044    0.5000    -223.7696  0.4525 
   00045    0.5300    -222.5335  0.4081 
   00046    0.6000    -231.1378  0.4436 
   00047    0.5100    -243.2014  0.5327 
   00048    0.4700    -238.3484  0.5480 
   00049    0.3900    -258.3435  0.6038 
   00050    0.4300    -258.6680  0.5764 
   00051    0.3600    -253.6919  0.5414 
   00052    0.5500    -256.5999  0.5721 
   00053    0.4600    -243.3929  0.5351 
   00054    0.5300    -237.2085  0.4804 
   00055    0.4900    -246.7296  0.4688 
   00056    0.5100    -250.6725  0.4802 
   00057    0.5500    -239.8302  0.4556 
   00058    0.5000    -261.6598  0.4968 
   00059    0.3800    -248.9922  0.4962 
   00060    0.4200    -250.1751  0.4139 
   00061    0.4600    -243.2986  0.4153 
   00062    0.3900    -252.5496  0.4457 
   00063    0.4300    -246.4865  0.3875 
   00064    0.4500    -229.6041  0.3398 
   00065    0.3600    -257.2524  0.4272 
   00066    0.4000    -258.8168  0.4327 
   00067    0.4200    -234.3052  0.4603 
   00068    0.4600    -242.9444  0.5124 
   00069    0.4900    -238.1127  0.5151 
   00070    0.3900    -248.2555  0.5392 
   00071    0.5400    -260.9327  0.5805 
   00072    0.5300    -231.5027  0.5066 
   00073    0.5700    -219.9763  0.5180 
   00074    0.4100    -238.0003  0.5847 
   00075    0.4700    -260.7941  0.5822 
   00076    0.4600    -253.0681  0.5370 
   00077    0.4700    -247.7674  0.5572 
   00078    0.4500    -220.8170  0.5028 
   00079    0.5100    -228.3123  0.4733 
   00080    0.5400    -222.5224  0.5026 
   00081    0.5800    -251.0755  0.6024 
   00082    0.5400    -241.3072  0.5743 
   00083    0.4300    -244.1539  0.5857 
   00084    0.5400    -249.5146  0.5582 
   00085    0.4900    -244.5014  0.5265 
   00086    0.5300    -213.6616  0.5405 
   00087    0.5000    -220.6225  0.5671 
   00088    0.4700    -225.0323  0.5736 
   00089    0.5900    -233.9158  0.6158 
   00090    0.5300    -229.1269  0.6090 
   00091    0.5900    -227.0720  0.5824 
   00092    0.4900    -223.6155  0.5495 
   00093    0.4500    -215.1076  0.5302 
   00094    0.5100    -216.2536  0.5860 
   00095    0.5900    -205.4330  0.5523 
   00096    0.5500    -239.5233  0.6265 
   00097    0.4600    -221.0752  0.5826 
   00098    0.4700    -246.9401  0.5452 
   00099    0.4400    -238.5409  0.5235 
   00100    0.5300    -232.7008  0.5556 
