#=====================================================
# File created:        Fri-08-Mar-2024-at-05-45-57PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.205386
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -114.3448  0.2922 
   00001    0.7200    -172.1193  0.3100 
   00002    0.6200    -185.0651  0.3549 
   00003    0.6500    -169.9341  0.3905 
   00004    0.5600    -167.9074  0.3645 
   00005    0.6300    -183.4384  0.3648 
   00006    0.5800    -201.1598  0.3654 
   00007    0.4900    -202.2456  0.3647 
   00008    0.5000    -199.8397  0.4286 
   00009    0.5800    -203.0443  0.3944 
   00010    0.5800    -195.7083  0.4106 
   00011    0.5700    -216.7480  0.4754 
   00012    0.5400    -233.2168  0.5386 
   00013    0.4700    -233.3888  0.5389 
   00014    0.4300    -226.2122  0.5045 
   00015    0.5400    -206.5291  0.4257 
   00016    0.6500    -199.6304  0.3770 
   00017    0.6300    -194.5405  0.3208 
   00018    0.6400    -209.6603  0.3363 
   00019    0.5100    -212.0167  0.3932 
   00020    0.5200    -211.2879  0.4097 
   00021    0.4700    -220.9377  0.4381 
   00022    0.5600    -225.2152  0.5057 
   00023    0.5400    -224.7700  0.4950 
   00024    0.5300    -212.1481  0.5146 
   00025    0.4900    -214.5663  0.5139 
   00026    0.5200    -238.7458  0.5031 
   00027    0.5200    -234.8291  0.5220 
   00028    0.5200    -233.6973  0.5212 
   00029    0.4800    -254.2890  0.5522 
   00030    0.4400    -268.9608  0.6060 
   00031    0.4300    -272.2595  0.6111 
   00032    0.4000    -259.4870  0.5897 
   00033    0.4300    -272.4521  0.6250 
   00034    0.4700    -282.4543  0.6310 
   00035    0.4000    -268.7284  0.6287 
   00036    0.4500    -254.1620  0.5681 
   00037    0.4500    -262.3417  0.5682 
   00038    0.4400    -228.6656  0.5087 
   00039    0.5500    -234.3800  0.5219 
   00040    0.4700    -245.0494  0.5172 
   00041    0.4500    -235.7871  0.4433 
   00042    0.4800    -237.1256  0.4384 
   00043    0.5400    -215.9781  0.3473 
   00044    0.5500    -232.0966  0.3390 
   00045    0.5200    -229.7580  0.3958 
   00046    0.4500    -242.2735  0.4250 
   00047    0.4900    -244.8150  0.3949 
   00048    0.5000    -235.4887  0.4140 
   00049    0.4700    -243.3803  0.5294 
   00050    0.4700    -237.0688  0.5184 
   00051    0.4600    -254.2886  0.5188 
   00052    0.4600    -259.6336  0.5635 
   00053    0.4400    -257.2807  0.5713 
   00054    0.5200    -250.9069  0.5840 
   00055    0.5100    -260.7010  0.6214 
   00056    0.3400    -281.1900  0.6908 
   00057    0.3800    -260.9088  0.7003 
   00058    0.5500    -270.9712  0.6363 
   00059    0.4100    -264.9346  0.6462 
   00060    0.4500    -265.7698  0.6655 
   00061    0.5600    -265.6338  0.6699 
   00062    0.4300    -262.8250  0.6525 
   00063    0.4700    -276.7377  0.6289 
   00064    0.4700    -273.9511  0.6309 
   00065    0.4300    -265.4313  0.5871 
   00066    0.4200    -256.3328  0.5871 
   00067    0.4100    -261.9584  0.5895 
   00068    0.4200    -253.9315  0.6142 
   00069    0.4800    -257.9411  0.6507 
   00070    0.5300    -253.5248  0.6803 
   00071    0.4400    -269.1251  0.6913 
   00072    0.4700    -249.1848  0.6853 
   00073    0.5000    -251.2256  0.7128 
   00074    0.3800    -254.3949  0.6960 
   00075    0.4600    -253.4295  0.6687 
   00076    0.4800    -259.3241  0.6636 
   00077    0.4000    -246.7325  0.6742 
   00078    0.4800    -245.1194  0.6225 
   00079    0.4700    -228.4520  0.6602 
   00080    0.4400    -241.2502  0.7047 
   00081    0.4300    -228.5653  0.7251 
   00082    0.5300    -237.9173  0.6900 
   00083    0.4800    -276.8903  0.7140 
   00084    0.4600    -249.5763  0.6453 
   00085    0.3800    -252.4554  0.6516 
   00086    0.3900    -255.6564  0.6262 
   00087    0.4100    -251.2924  0.5922 
   00088    0.4600    -260.2237  0.5947 
   00089    0.4300    -260.5613  0.5625 
   00090    0.4500    -269.2977  0.5664 
   00091    0.3600    -262.7404  0.5687 
   00092    0.4400    -285.1096  0.5916 
   00093    0.4600    -270.1118  0.6189 
   00094    0.4400    -258.5055  0.5952 
   00095    0.4200    -265.9887  0.5892 
   00096    0.4200    -254.1149  0.5960 
   00097    0.3900    -254.0628  0.6482 
   00098    0.4800    -256.6081  0.6119 
   00099    0.4500    -252.5934  0.6515 
   00100    0.3600    -265.7749  0.6547 
