#=====================================================
# File created:        Fri-08-Mar-2024-at-05-41-19PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.268863
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -113.6548  0.3318 
   00001    0.7000    -157.1551  0.3234 
   00002    0.6100    -178.3465  0.3624 
   00003    0.6000    -196.2755  0.3706 
   00004    0.5000    -217.5343  0.3165 
   00005    0.4900    -243.9366  0.3317 
   00006    0.5400    -223.9582  0.3577 
   00007    0.6100    -206.5353  0.4173 
   00008    0.5800    -209.0928  0.3586 
   00009    0.4800    -224.2844  0.3227 
   00010    0.4300    -209.7313  0.2713 
   00011    0.6100    -202.2669  0.2742 
   00012    0.6500    -203.9983  0.3804 
   00013    0.5400    -215.2739  0.3719 
   00014    0.5900    -209.7894  0.3446 
   00015    0.5500    -212.7636  0.3612 
   00016    0.5400    -212.4284  0.3968 
   00017    0.4600    -216.7867  0.4216 
   00018    0.5500    -209.4252  0.4174 
   00019    0.5100    -218.6134  0.4465 
   00020    0.5400    -203.0556  0.4874 
   00021    0.4400    -224.8385  0.5350 
   00022    0.4200    -218.7061  0.5318 
   00023    0.6100    -211.2657  0.5327 
   00024    0.6000    -206.1648  0.5058 
   00025    0.4800    -226.7763  0.5727 
   00026    0.4900    -225.4329  0.5188 
   00027    0.5100    -219.0783  0.5208 
   00028    0.5300    -221.4206  0.4944 
   00029    0.4700    -214.9637  0.4889 
   00030    0.5800    -209.6676  0.4865 
   00031    0.4800    -229.9866  0.5177 
   00032    0.4100    -229.7654  0.5348 
   00033    0.4800    -230.2087  0.4706 
   00034    0.5300    -216.8828  0.4970 
   00035    0.5700    -213.9883  0.4395 
   00036    0.5300    -198.4225  0.4054 
   00037    0.4400    -202.6879  0.3437 
   00038    0.5800    -188.0092  0.3564 
   00039    0.5700    -224.5783  0.3349 
   00040    0.5500    -225.9166  0.3318 
   00041    0.4700    -210.3199  0.3746 
   00042    0.4700    -218.9045  0.4422 
   00043    0.5400    -204.4179  0.4821 
   00044    0.5800    -206.2272  0.4487 
   00045    0.5800    -217.8891  0.5174 
   00046    0.5500    -218.6276  0.4977 
   00047    0.5700    -223.7584  0.5000 
   00048    0.5100    -227.2888  0.5476 
   00049    0.5500    -233.7360  0.5417 
   00050    0.5400    -232.1575  0.5185 
   00051    0.4900    -212.5629  0.4825 
   00052    0.4600    -225.3260  0.4850 
   00053    0.4400    -242.6856  0.5051 
   00054    0.5400    -236.6047  0.4899 
   00055    0.4600    -244.9374  0.5167 
   00056    0.5200    -231.7524  0.5257 
   00057    0.6000    -231.2829  0.5781 
   00058    0.5200    -255.5353  0.6615 
   00059    0.4100    -237.9971  0.5894 
   00060    0.5600    -233.6873  0.5528 
   00061    0.5500    -237.3382  0.5983 
   00062    0.4300    -234.6074  0.5846 
   00063    0.5200    -225.1355  0.5687 
   00064    0.4800    -247.2570  0.5554 
   00065    0.3900    -264.9799  0.5809 
   00066    0.4500    -264.4070  0.6172 
   00067    0.4100    -267.6847  0.5923 
   00068    0.4100    -254.8468  0.5621 
   00069    0.4600    -252.1177  0.5573 
   00070    0.4500    -240.2829  0.5290 
   00071    0.6100    -260.8687  0.5775 
   00072    0.5100    -237.9806  0.5731 
   00073    0.4400    -252.4538  0.6248 
   00074    0.4600    -252.2349  0.6227 
   00075    0.3800    -240.8323  0.6355 
   00076    0.3300    -238.2722  0.6364 
   00077    0.4200    -230.5062  0.6444 
   00078    0.5600    -245.1058  0.6241 
   00079    0.5400    -259.4308  0.6595 
   00080    0.4900    -268.3100  0.7027 
   00081    0.4900    -257.2184  0.6738 
   00082    0.5300    -273.4271  0.6943 
   00083    0.3900    -268.8381  0.6916 
   00084    0.3800    -256.7509  0.6682 
   00085    0.4600    -270.2522  0.6706 
   00086    0.4200    -272.0453  0.6928 
   00087    0.4400    -278.0350  0.7426 
   00088    0.4200    -277.0365  0.7248 
   00089    0.4100    -280.8714  0.7013 
   00090    0.4400    -277.0600  0.7232 
   00091    0.4800    -249.3106  0.6512 
   00092    0.5100    -254.9261  0.6329 
   00093    0.4200    -268.7375  0.6759 
   00094    0.4500    -255.4765  0.6607 
   00095    0.4800    -260.7498  0.6677 
   00096    0.5100    -237.0001  0.6046 
   00097    0.5500    -219.7983  0.5628 
   00098    0.4500    -213.8719  0.5426 
   00099    0.6000    -216.1679  0.4885 
   00100    0.5200    -235.7986  0.5400 
