#=====================================================
# File created:        Fri-08-Mar-2024-at-04-58-20PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.282746
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -88.8804  0.3238 
   00001    0.6900    -154.5064  0.3080 
   00002    0.7300    -165.2231  0.4038 
   00003    0.6200    -194.3037  0.4786 
   00004    0.5100    -207.8448  0.5045 
   00005    0.4200    -229.9812  0.5391 
   00006    0.6100    -222.5792  0.5053 
   00007    0.5300    -231.6981  0.5269 
   00008    0.4800    -237.1634  0.5380 
   00009    0.5400    -228.0137  0.4937 
   00010    0.4200    -237.7127  0.4858 
   00011    0.5000    -252.3829  0.4343 
   00012    0.4200    -243.0520  0.4688 
   00013    0.5300    -227.1960  0.4318 
   00014    0.4900    -233.4059  0.4204 
   00015    0.4500    -232.5957  0.4773 
   00016    0.4600    -243.4403  0.5069 
   00017    0.4200    -250.5455  0.4893 
   00018    0.5000    -241.7436  0.4896 
   00019    0.4800    -219.8963  0.4652 
   00020    0.4900    -241.1838  0.4668 
   00021    0.3800    -245.2943  0.5031 
   00022    0.4500    -239.4761  0.5528 
   00023    0.4300    -235.2271  0.5531 
   00024    0.5700    -255.6093  0.5799 
   00025    0.5400    -245.1369  0.5665 
   00026    0.5600    -250.6190  0.5345 
   00027    0.5200    -248.4683  0.5580 
   00028    0.3800    -250.5526  0.6023 
   00029    0.4900    -268.0240  0.5634 
   00030    0.4300    -273.8699  0.5800 
   00031    0.4700    -254.8740  0.5360 
   00032    0.5300    -234.1689  0.5011 
   00033    0.4600    -246.9968  0.5388 
   00034    0.4100    -238.3107  0.5153 
   00035    0.5000    -227.2698  0.5067 
   00036    0.4700    -226.5323  0.5188 
   00037    0.6400    -222.7110  0.4874 
   00038    0.5000    -234.6851  0.5275 
   00039    0.4800    -234.3481  0.4931 
   00040    0.5000    -210.8977  0.4240 
   00041    0.5100    -206.8129  0.4585 
   00042    0.5300    -221.4299  0.4725 
   00043    0.4600    -234.4244  0.4984 
   00044    0.4900    -230.0186  0.4271 
   00045    0.4400    -225.5229  0.3773 
   00046    0.5100    -228.5721  0.3974 
   00047    0.4400    -243.2641  0.4245 
   00048    0.4200    -228.9196  0.4361 
   00049    0.5300    -222.9233  0.4640 
   00050    0.5300    -225.5697  0.4804 
   00051    0.4800    -215.9465  0.5097 
   00052    0.4900    -221.1305  0.4917 
   00053    0.5000    -246.3896  0.5238 
   00054    0.4000    -244.8445  0.5307 
   00055    0.5400    -254.1168  0.4998 
   00056    0.4700    -247.6296  0.5376 
   00057    0.4900    -238.6494  0.5504 
   00058    0.4700    -246.4829  0.5857 
   00059    0.4900    -256.7744  0.5743 
   00060    0.6000    -236.4286  0.5185 
   00061    0.4300    -242.4788  0.5196 
   00062    0.5400    -249.2703  0.4817 
   00063    0.4200    -252.9143  0.5277 
   00064    0.4400    -237.3114  0.4754 
   00065    0.4900    -247.7392  0.5366 
   00066    0.4500    -227.8259  0.5111 
   00067    0.5600    -253.6613  0.5368 
   00068    0.4600    -241.6676  0.5078 
   00069    0.5800    -246.6862  0.4968 
   00070    0.4400    -265.1923  0.5080 
   00071    0.5100    -250.0193  0.5730 
   00072    0.3900    -239.9863  0.5373 
   00073    0.4700    -239.2332  0.5259 
   00074    0.4700    -223.5164  0.4940 
   00075    0.5300    -234.5862  0.4900 
   00076    0.5200    -243.6980  0.4968 
   00077    0.5500    -233.4043  0.4452 
   00078    0.5400    -219.4441  0.4994 
   00079    0.4800    -204.1923  0.5034 
   00080    0.5500    -209.9568  0.5191 
   00081    0.5000    -215.8642  0.5849 
   00082    0.5500    -204.5528  0.5773 
   00083    0.6800    -220.6116  0.5987 
   00084    0.5300    -229.4104  0.6098 
   00085    0.4600    -215.0639  0.5909 
   00086    0.5400    -229.2830  0.5470 
   00087    0.5100    -210.0326  0.4974 
   00088    0.4900    -220.7392  0.5254 
   00089    0.5300    -220.0380  0.5544 
   00090    0.5600    -214.8564  0.5272 
   00091    0.4900    -224.5399  0.4838 
   00092    0.4600    -216.6610  0.5120 
   00093    0.5200    -218.2754  0.4716 
   00094    0.5300    -218.6528  0.4759 
   00095    0.4900    -236.1946  0.4825 
   00096    0.4900    -240.1158  0.4548 
   00097    0.4700    -225.8706  0.4087 
   00098    0.5500    -204.2519  0.4194 
   00099    0.5600    -200.7622  0.3324 
   00100    0.5800    -197.9766  0.2768 
