#=====================================================
# File created:        Fri-08-Mar-2024-at-05-50-17PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.248243
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -123.6546  0.2961 
   00001    0.7200    -150.3357  0.2786 
   00002    0.5900    -153.0269  0.2973 
   00003    0.6000    -175.8110  0.2905 
   00004    0.6400    -186.4446  0.2902 
   00005    0.5200    -207.7620  0.4095 
   00006    0.5400    -231.7545  0.5218 
   00007    0.4200    -237.0340  0.5367 
   00008    0.5200    -235.6240  0.5679 
   00009    0.5100    -235.8999  0.5830 
   00010    0.5200    -233.2382  0.6162 
   00011    0.5800    -229.6234  0.6078 
   00012    0.5700    -234.7077  0.5983 
   00013    0.5100    -245.8542  0.6799 
   00014    0.5100    -257.7500  0.6707 
   00015    0.5200    -250.4655  0.6285 
   00016    0.5000    -238.5790  0.6360 
   00017    0.5200    -253.7611  0.6050 
   00018    0.4900    -237.1635  0.5807 
   00019    0.5100    -226.1003  0.5762 
   00020    0.5100    -230.0166  0.5591 
   00021    0.5400    -233.4832  0.5580 
   00022    0.4500    -244.5904  0.5481 
   00023    0.5600    -247.5275  0.5597 
   00024    0.6000    -238.7550  0.5223 
   00025    0.5600    -237.8710  0.5631 
   00026    0.5100    -240.9807  0.6216 
   00027    0.4900    -245.9278  0.6296 
   00028    0.3900    -267.0449  0.6628 
   00029    0.4500    -255.9359  0.6258 
   00030    0.4200    -269.0313  0.6448 
   00031    0.3900    -263.2824  0.6648 
   00032    0.4200    -267.2431  0.6317 
   00033    0.4300    -254.5132  0.5930 
   00034    0.5000    -249.8122  0.5926 
   00035    0.4900    -265.4014  0.6103 
   00036    0.3800    -261.5978  0.6224 
   00037    0.4600    -272.0839  0.6162 
   00038    0.4100    -272.7811  0.6575 
   00039    0.4300    -268.9187  0.6140 
   00040    0.3700    -262.7033  0.6439 
   00041    0.4600    -263.3839  0.6432 
   00042    0.5200    -276.6372  0.6518 
   00043    0.3900    -278.4123  0.6538 
   00044    0.4800    -268.5501  0.6683 
   00045    0.4300    -259.7079  0.6835 
   00046    0.4600    -270.3761  0.7196 
   00047    0.4600    -288.6896  0.7168 
   00048    0.3800    -271.7180  0.6870 
   00049    0.3500    -258.9478  0.6668 
   00050    0.4300    -245.1018  0.6438 
   00051    0.4400    -244.1861  0.6401 
   00052    0.4100    -244.6117  0.6786 
   00053    0.5200    -235.2774  0.6923 
   00054    0.5200    -252.9738  0.6872 
   00055    0.4700    -264.6195  0.7007 
   00056    0.4700    -248.0603  0.7007 
   00057    0.5100    -249.8691  0.6878 
   00058    0.4300    -269.6416  0.7242 
   00059    0.4200    -269.5570  0.7171 
   00060    0.4500    -277.2541  0.7199 
   00061    0.3500    -280.2693  0.7316 
   00062    0.3400    -279.5493  0.7409 
   00063    0.3200    -279.7695  0.7729 
   00064    0.4700    -295.3259  0.8091 
   00065    0.4200    -278.0180  0.7836 
   00066    0.4700    -289.4908  0.8049 
   00067    0.4100    -277.9805  0.7930 
   00068    0.5200    -270.9727  0.7565 
   00069    0.4800    -285.0909  0.7569 
   00070    0.4500    -289.4584  0.7602 
   00071    0.4900    -272.6384  0.7169 
   00072    0.5000    -263.8669  0.6816 
   00073    0.4700    -267.5169  0.6996 
   00074    0.4500    -265.1958  0.6729 
   00075    0.3900    -272.2997  0.6625 
   00076    0.4900    -271.0379  0.6969 
   00077    0.4300    -262.0881  0.7136 
   00078    0.4500    -250.8978  0.6516 
   00079    0.4100    -253.1173  0.6974 
   00080    0.5400    -251.1350  0.6768 
   00081    0.4200    -268.3720  0.6757 
   00082    0.3900    -270.8562  0.6840 
   00083    0.4300    -269.8161  0.6857 
   00084    0.4700    -252.9233  0.6432 
   00085    0.4700    -263.1379  0.6604 
   00086    0.4700    -253.2945  0.6201 
   00087    0.4800    -240.3291  0.6140 
   00088    0.4800    -237.0846  0.6372 
   00089    0.4300    -246.1697  0.6445 
   00090    0.4800    -252.5186  0.6708 
   00091    0.4400    -247.5386  0.6937 
   00092    0.4400    -258.6030  0.7294 
   00093    0.4400    -258.6031  0.7207 
   00094    0.4500    -272.8792  0.7060 
   00095    0.4200    -269.7646  0.6634 
   00096    0.3800    -265.0209  0.6696 
   00097    0.4300    -272.1267  0.6836 
   00098    0.4200    -264.0173  0.6992 
   00099    0.4400    -267.6113  0.6688 
   00100    0.3900    -267.9618  0.6795 
