#=====================================================
# File created:        Fri-08-Mar-2024-at-06-22-08PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.276350
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -94.1665  0.2895 
   00001    0.6800    -148.7923  0.3010 
   00002    0.6400    -160.4170  0.3166 
   00003    0.6200    -167.2303  0.3072 
   00004    0.6200    -166.8357  0.3051 
   00005    0.6600    -195.6592  0.3332 
   00006    0.5200    -203.2160  0.2734 
   00007    0.5700    -196.3821  0.3248 
   00008    0.5400    -199.5015  0.3836 
   00009    0.5200    -196.2989  0.3997 
   00010    0.6300    -198.1386  0.3801 
   00011    0.5500    -213.8888  0.3786 
   00012    0.5800    -198.2814  0.4060 
   00013    0.5800    -212.0774  0.4131 
   00014    0.5500    -213.2008  0.3141 
   00015    0.5000    -220.6845  0.3552 
   00016    0.5600    -215.3033  0.4242 
   00017    0.4600    -213.4275  0.3682 
   00018    0.4800    -229.5511  0.3827 
   00019    0.5000    -225.9962  0.4318 
   00020    0.5400    -228.5231  0.4421 
   00021    0.4900    -236.9523  0.4400 
   00022    0.4600    -224.8438  0.4377 
   00023    0.4800    -222.6128  0.4656 
   00024    0.5400    -227.7338  0.5601 
   00025    0.5500    -215.9474  0.5580 
   00026    0.6100    -211.3440  0.5332 
   00027    0.5800    -214.4072  0.5635 
   00028    0.5000    -211.2208  0.5813 
   00029    0.5100    -220.5384  0.5100 
   00030    0.4900    -218.0804  0.5107 
   00031    0.4000    -223.0459  0.5220 
   00032    0.4900    -223.0219  0.5510 
   00033    0.4100    -250.3946  0.5996 
   00034    0.4800    -233.4122  0.5732 
   00035    0.5700    -242.7021  0.5709 
   00036    0.4700    -248.9876  0.6392 
   00037    0.4800    -236.4870  0.6056 
   00038    0.5000    -246.5680  0.6158 
   00039    0.4600    -256.7949  0.6522 
   00040    0.4900    -235.2359  0.5757 
   00041    0.5100    -222.3172  0.5475 
   00042    0.4400    -240.6570  0.4955 
   00043    0.4800    -234.7208  0.5002 
   00044    0.5100    -238.3481  0.4900 
   00045    0.4700    -245.1990  0.5848 
   00046    0.4200    -237.1038  0.6215 
   00047    0.4900    -227.3307  0.6188 
   00048    0.4900    -259.3101  0.6483 
   00049    0.4900    -273.8553  0.6583 
   00050    0.4300    -271.2481  0.6206 
   00051    0.4700    -273.9583  0.6378 
   00052    0.3100    -277.6559  0.6116 
   00053    0.4100    -262.4699  0.5982 
   00054    0.4000    -250.2483  0.5673 
   00055    0.5100    -272.2189  0.5987 
   00056    0.3900    -263.1838  0.5835 
   00057    0.4300    -264.8814  0.6117 
   00058    0.4900    -270.7984  0.5892 
   00059    0.4300    -257.1547  0.5373 
   00060    0.5300    -247.5909  0.5463 
   00061    0.5200    -224.5297  0.4962 
   00062    0.5800    -214.6340  0.4382 
   00063    0.5000    -225.4654  0.3941 
   00064    0.4900    -220.7152  0.3908 
   00065    0.5600    -221.7740  0.3777 
   00066    0.5400    -218.9061  0.3757 
   00067    0.4600    -220.4453  0.3897 
   00068    0.5800    -219.2316  0.3940 
   00069    0.5100    -221.3916  0.4086 
   00070    0.5400    -236.4187  0.4319 
   00071    0.5000    -251.4707  0.4819 
   00072    0.4300    -255.0893  0.5196 
   00073    0.5700    -242.1067  0.5369 
   00074    0.5200    -241.5900  0.5168 
   00075    0.5200    -232.3785  0.5438 
   00076    0.4600    -235.5362  0.6005 
   00077    0.5500    -233.3590  0.6116 
   00078    0.4600    -243.8953  0.6382 
   00079    0.4600    -244.8883  0.6405 
   00080    0.4700    -253.6842  0.6482 
   00081    0.5300    -252.0823  0.6162 
   00082    0.4700    -231.7303  0.5773 
   00083    0.5800    -262.8052  0.6249 
   00084    0.5200    -233.0142  0.5695 
   00085    0.4800    -232.1964  0.6069 
   00086    0.5200    -242.7769  0.5562 
   00087    0.3800    -240.4887  0.5550 
   00088    0.4100    -246.2076  0.5723 
   00089    0.4600    -241.3592  0.5322 
   00090    0.5400    -256.1402  0.5535 
   00091    0.4400    -258.0360  0.5344 
   00092    0.4600    -239.0190  0.5329 
   00093    0.4800    -243.8685  0.5039 
   00094    0.4800    -241.6462  0.4810 
   00095    0.4700    -235.3347  0.4666 
   00096    0.5200    -221.9118  0.4409 
   00097    0.5300    -224.2215  0.3699 
   00098    0.5900    -241.4714  0.4174 
   00099    0.6000    -241.1303  0.4006 
   00100    0.5300    -241.1230  0.4494 
