#=====================================================
# File created:        Fri-08-Mar-2024-at-06-23-01PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.487031
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -116.2477  0.3340 
   00001    0.5800    -184.9073  0.4258 
   00002    0.6000    -175.4279  0.4242 
   00003    0.7300    -174.7351  0.3467 
   00004    0.6200    -186.2771  0.4352 
   00005    0.5900    -206.6253  0.4298 
   00006    0.5300    -225.8998  0.4372 
   00007    0.4300    -211.5600  0.3854 
   00008    0.5000    -197.4803  0.3812 
   00009    0.5500    -201.4350  0.3122 
   00010    0.5400    -202.1932  0.3194 
   00011    0.5100    -217.1787  0.3908 
   00012    0.4500    -204.8188  0.4202 
   00013    0.6500    -223.4426  0.3610 
   00014    0.4900    -223.8353  0.3762 
   00015    0.5000    -224.5975  0.3571 
   00016    0.4100    -225.6397  0.2875 
   00017    0.5300    -231.3655  0.3172 
   00018    0.4500    -238.2152  0.3388 
   00019    0.5100    -242.2301  0.3024 
   00020    0.5300    -233.9233  0.3221 
   00021    0.4300    -225.5805  0.3150 
   00022    0.5400    -228.1711  0.3734 
   00023    0.5000    -210.5002  0.3569 
   00024    0.6200    -204.7199  0.3889 
   00025    0.6000    -192.7473  0.4031 
   00026    0.5900    -190.6476  0.4520 
   00027    0.5400    -187.5768  0.3889 
   00028    0.5600    -200.1851  0.3849 
   00029    0.5300    -229.7710  0.4342 
   00030    0.4500    -222.2341  0.4435 
   00031    0.5200    -225.9796  0.4588 
   00032    0.5600    -236.4625  0.4639 
   00033    0.4900    -229.4844  0.4447 
   00034    0.4400    -236.9380  0.4105 
   00035    0.5200    -228.3031  0.4399 
   00036    0.5200    -252.7572  0.5932 
   00037    0.4600    -252.5166  0.5772 
   00038    0.4800    -239.2483  0.5395 
   00039    0.4500    -238.3548  0.5205 
   00040    0.5600    -233.3760  0.5386 
   00041    0.4700    -232.3458  0.5160 
   00042    0.4700    -234.4570  0.4964 
   00043    0.4700    -244.6512  0.5052 
   00044    0.4600    -231.3599  0.5020 
   00045    0.5000    -228.9933  0.4841 
   00046    0.4300    -229.4965  0.5139 
   00047    0.5100    -213.5565  0.4752 
   00048    0.5100    -202.4171  0.4064 
   00049    0.4900    -193.9987  0.3294 
   00050    0.5100    -202.7529  0.3201 
   00051    0.5800    -195.8623  0.3311 
   00052    0.5000    -203.8499  0.3484 
   00053    0.5200    -206.0772  0.3801 
   00054    0.4500    -208.1882  0.4267 
   00055    0.6100    -213.6499  0.5014 
   00056    0.5200    -219.8482  0.4801 
   00057    0.5700    -229.0226  0.4766 
   00058    0.4700    -223.6523  0.4792 
   00059    0.5300    -234.4202  0.5407 
   00060    0.4800    -206.5504  0.5398 
   00061    0.4800    -210.7673  0.5657 
   00062    0.4500    -229.4731  0.5626 
   00063    0.5400    -207.0517  0.5661 
   00064    0.5000    -206.1590  0.5203 
   00065    0.5000    -225.1596  0.5368 
   00066    0.4900    -216.4831  0.5551 
   00067    0.5000    -251.6926  0.6613 
   00068    0.4500    -234.4611  0.6143 
   00069    0.5200    -232.1923  0.6226 
   00070    0.4500    -242.3239  0.5920 
   00071    0.4900    -230.7877  0.5903 
   00072    0.5400    -233.1553  0.5990 
   00073    0.4800    -229.0023  0.6076 
   00074    0.5500    -240.2532  0.5525 
   00075    0.5000    -250.6838  0.5831 
   00076    0.4400    -231.8956  0.5319 
   00077    0.5700    -229.8354  0.5102 
   00078    0.5400    -219.0411  0.5032 
   00079    0.5300    -244.0786  0.5288 
   00080    0.6000    -236.1515  0.5362 
   00081    0.4000    -230.3505  0.5379 
   00082    0.6700    -203.5370  0.4929 
   00083    0.5500    -194.5497  0.4388 
   00084    0.5300    -184.5948  0.3606 
   00085    0.5600    -205.3072  0.3415 
   00086    0.5600    -201.5328  0.3408 
   00087    0.5700    -210.4825  0.3873 
   00088    0.5500    -216.5319  0.4259 
   00089    0.4800    -228.1667  0.4725 
   00090    0.5100    -205.0840  0.4802 
   00091    0.5500    -225.8240  0.4819 
   00092    0.5300    -216.5909  0.5397 
   00093    0.5500    -233.0429  0.5705 
   00094    0.5300    -220.4913  0.5733 
   00095    0.5800    -226.3899  0.5988 
   00096    0.4900    -220.4002  0.5566 
   00097    0.4500    -234.7563  0.6369 
   00098    0.4500    -246.6004  0.6525 
   00099    0.4000    -239.8924  0.6178 
   00100    0.5900    -255.1850  0.6431 
