#=====================================================
# File created:        Fri-08-Mar-2024-at-05-43-51PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.226253
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -95.4423  0.2961 
   00001    0.6300    -141.4335  0.3026 
   00002    0.6900    -152.7335  0.3306 
   00003    0.6300    -166.5868  0.3073 
   00004    0.6000    -177.8651  0.2878 
   00005    0.5400    -196.6493  0.2713 
   00006    0.5600    -205.6751  0.3337 
   00007    0.6000    -209.1691  0.2901 
   00008    0.5600    -218.4797  0.3246 
   00009    0.4100    -215.4332  0.3327 
   00010    0.6100    -207.6652  0.3458 
   00011    0.4900    -221.9172  0.3489 
   00012    0.5000    -211.5825  0.3611 
   00013    0.5700    -215.4977  0.4547 
   00014    0.4400    -232.6186  0.4723 
   00015    0.4600    -251.2106  0.5065 
   00016    0.5200    -239.5508  0.4353 
   00017    0.4800    -234.9553  0.4406 
   00018    0.5400    -234.6484  0.4484 
   00019    0.4300    -229.8594  0.4154 
   00020    0.5400    -219.9618  0.4277 
   00021    0.5500    -236.9212  0.4840 
   00022    0.3700    -261.4963  0.4830 
   00023    0.3700    -263.0993  0.4764 
   00024    0.4800    -248.3846  0.4891 
   00025    0.4900    -247.6489  0.4989 
   00026    0.5500    -239.6148  0.4845 
   00027    0.4500    -239.3401  0.4890 
   00028    0.4600    -242.1839  0.4751 
   00029    0.3700    -237.0518  0.4978 
   00030    0.3900    -253.5638  0.5722 
   00031    0.4900    -253.5203  0.5809 
   00032    0.3900    -253.7893  0.5756 
   00033    0.5000    -247.6828  0.5428 
   00034    0.4800    -236.8498  0.5130 
   00035    0.5300    -232.1229  0.5032 
   00036    0.5200    -251.6829  0.5680 
   00037    0.3300    -248.3092  0.6073 
   00038    0.4300    -239.0163  0.6190 
   00039    0.5100    -237.6541  0.6545 
   00040    0.4500    -232.3275  0.6124 
   00041    0.5200    -199.9646  0.5406 
   00042    0.5000    -235.2205  0.6056 
   00043    0.5400    -236.1012  0.5763 
   00044    0.5300    -236.6146  0.5867 
   00045    0.5000    -228.2231  0.5429 
   00046    0.4300    -212.8675  0.5503 
   00047    0.5300    -208.2919  0.5117 
   00048    0.4300    -197.2921  0.4926 
   00049    0.6100    -212.7009  0.5559 
   00050    0.4100    -238.3178  0.5613 
   00051    0.5600    -237.2301  0.5792 
   00052    0.5200    -244.5319  0.5881 
   00053    0.5600    -250.0105  0.5664 
   00054    0.5200    -243.7541  0.5251 
   00055    0.4500    -225.1341  0.4728 
   00056    0.5300    -235.3918  0.4619 
   00057    0.4600    -252.1789  0.4628 
   00058    0.5000    -244.2937  0.4469 
   00059    0.4800    -245.4493  0.4500 
   00060    0.5600    -246.4146  0.3616 
   00061    0.5600    -229.2483  0.3636 
   00062    0.5200    -226.7915  0.4483 
   00063    0.4700    -251.2822  0.4788 
   00064    0.4900    -228.5332  0.4694 
   00065    0.4400    -223.4135  0.4566 
   00066    0.5000    -247.0790  0.5439 
   00067    0.5200    -235.4552  0.4995 
   00068    0.5000    -234.7337  0.5109 
   00069    0.5000    -238.7901  0.5126 
   00070    0.4800    -239.8411  0.5045 
   00071    0.5500    -238.8785  0.4904 
   00072    0.4700    -248.5057  0.5081 
   00073    0.5000    -256.3188  0.6322 
   00074    0.4400    -246.3904  0.6048 
   00075    0.4700    -252.7152  0.5046 
   00076    0.4100    -246.9554  0.5000 
   00077    0.5000    -241.1295  0.5092 
   00078    0.4000    -265.9545  0.5754 
   00079    0.4000    -269.7836  0.5596 
   00080    0.5100    -249.6860  0.5261 
   00081    0.5600    -239.2948  0.4566 
   00082    0.5300    -255.5506  0.4006 
   00083    0.4900    -253.9033  0.3910 
   00084    0.4400    -233.4484  0.3962 
   00085    0.4700    -217.8554  0.4012 
   00086    0.5200    -216.6196  0.4324 
   00087    0.4600    -229.8931  0.4289 
   00088    0.5000    -249.7431  0.4491 
   00089    0.4800    -239.0854  0.4960 
   00090    0.4800    -217.3445  0.4560 
   00091    0.5800    -218.2168  0.5062 
   00092    0.5800    -196.9770  0.5029 
   00093    0.5800    -237.1259  0.4694 
   00094    0.4800    -225.6321  0.4905 
   00095    0.4600    -231.9674  0.5390 
   00096    0.5100    -248.9426  0.4441 
   00097    0.4400    -247.2174  0.5208 
   00098    0.4400    -242.7168  0.5270 
   00099    0.5200    -243.7295  0.5290 
   00100    0.5400    -243.7761  0.5279 
