#=====================================================
# File created:        Fri-08-Mar-2024-at-04-58-50PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.277608
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -83.5254  0.3284 
   00001    0.7500    -155.3013  0.3828 
   00002    0.6500    -183.8433  0.4263 
   00003    0.5700    -196.3496  0.4101 
   00004    0.4900    -212.6378  0.3682 
   00005    0.5800    -224.0337  0.3549 
   00006    0.6300    -227.9801  0.3789 
   00007    0.5500    -238.4942  0.4494 
   00008    0.4100    -240.0173  0.4753 
   00009    0.4500    -243.8640  0.5111 
   00010    0.4400    -260.0334  0.5810 
   00011    0.3900    -252.4531  0.5807 
   00012    0.4700    -247.1915  0.5201 
   00013    0.4800    -230.0982  0.4567 
   00014    0.5400    -237.4184  0.4945 
   00015    0.4400    -232.8876  0.4818 
   00016    0.5600    -218.3382  0.5063 
   00017    0.5800    -217.0255  0.4519 
   00018    0.5200    -224.6766  0.4541 
   00019    0.5600    -246.3129  0.4894 
   00020    0.5700    -222.5419  0.5020 
   00021    0.6200    -228.9907  0.4924 
   00022    0.5600    -226.8875  0.4879 
   00023    0.5800    -214.5383  0.4597 
   00024    0.5100    -213.6349  0.4925 
   00025    0.5200    -211.8744  0.4955 
   00026    0.5300    -207.2395  0.4545 
   00027    0.4800    -207.5757  0.3860 
   00028    0.5400    -221.2005  0.4342 
   00029    0.4000    -222.1165  0.4699 
   00030    0.4800    -233.8794  0.4489 
   00031    0.6100    -204.8196  0.4266 
   00032    0.4900    -203.6283  0.4215 
   00033    0.5100    -207.8090  0.4235 
   00034    0.5500    -227.2452  0.4422 
   00035    0.5200    -218.9183  0.4089 
   00036    0.4700    -213.6881  0.3918 
   00037    0.4700    -241.2357  0.4887 
   00038    0.4000    -241.7526  0.5363 
   00039    0.5000    -236.7378  0.5233 
   00040    0.5300    -230.6620  0.5166 
   00041    0.5300    -223.7121  0.5855 
   00042    0.4500    -223.4077  0.6415 
   00043    0.4700    -223.3831  0.6566 
   00044    0.4400    -248.0032  0.7034 
   00045    0.5500    -250.5201  0.6429 
   00046    0.4200    -243.7879  0.7307 
   00047    0.4000    -263.0441  0.7405 
   00048    0.4500    -271.2993  0.7222 
   00049    0.4000    -278.9708  0.7657 
   00050    0.5300    -267.0999  0.7309 
   00051    0.4200    -253.3070  0.7086 
   00052    0.4900    -249.2374  0.6874 
   00053    0.4900    -255.4568  0.6419 
   00054    0.4400    -260.9256  0.6660 
   00055    0.4300    -271.3729  0.7008 
   00056    0.4500    -267.4979  0.6669 
   00057    0.3800    -254.9805  0.6465 
   00058    0.4300    -277.4039  0.7402 
   00059    0.4300    -282.3573  0.7382 
   00060    0.3900    -284.3043  0.7316 
   00061    0.4400    -277.5888  0.6908 
   00062    0.4200    -285.5389  0.7238 
   00063    0.4400    -279.2883  0.7269 
   00064    0.4500    -296.6539  0.7776 
   00065    0.3700    -274.6558  0.7231 
   00066    0.4000    -259.6945  0.7000 
   00067    0.4800    -280.8353  0.7523 
   00068    0.4400    -262.8146  0.7151 
   00069    0.4900    -263.2886  0.7384 
   00070    0.4700    -274.3916  0.7426 
   00071    0.3200    -275.8606  0.7551 
   00072    0.4900    -268.7389  0.7272 
   00073    0.3600    -266.5632  0.7442 
   00074    0.4800    -281.1154  0.7757 
   00075    0.3700    -258.6090  0.7393 
   00076    0.4800    -236.8326  0.6878 
   00077    0.5100    -246.6956  0.6738 
   00078    0.4300    -249.6790  0.6099 
   00079    0.4600    -237.9602  0.5964 
   00080    0.5200    -221.9822  0.5871 
   00081    0.4600    -224.6027  0.5610 
   00082    0.5100    -231.5853  0.5751 
   00083    0.4500    -233.0908  0.5264 
   00084    0.4900    -235.0720  0.5249 
   00085    0.5900    -258.7830  0.4689 
   00086    0.4200    -245.6056  0.4917 
   00087    0.5000    -242.0112  0.4800 
   00088    0.4200    -241.3717  0.4693 
   00089    0.5200    -217.9341  0.4522 
   00090    0.5300    -218.6292  0.3934 
   00091    0.4600    -228.9176  0.4605 
   00092    0.6100    -204.0569  0.4587 
   00093    0.5000    -208.3889  0.4806 
   00094    0.5000    -214.0384  0.3762 
   00095    0.5500    -205.0159  0.3791 
   00096    0.5300    -210.9376  0.3622 
   00097    0.5300    -201.1962  0.3717 
   00098    0.4300    -219.1695  0.3548 
   00099    0.4400    -221.2693  0.4014 
   00100    0.5800    -232.8936  0.3907 
