#=====================================================
# File created:        Fri-08-Mar-2024-at-05-52-07PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.223611
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -98.8489  0.3023 
   00001    0.6700    -148.0328  0.3064 
   00002    0.6600    -159.8057  0.2634 
   00003    0.4900    -188.6932  0.3144 
   00004    0.5500    -206.8748  0.3764 
   00005    0.5700    -202.5320  0.3780 
   00006    0.5700    -206.6900  0.3182 
   00007    0.6100    -201.3569  0.3074 
   00008    0.5500    -203.8746  0.3141 
   00009    0.5300    -210.1807  0.3241 
   00010    0.5700    -194.1045  0.3040 
   00011    0.5800    -225.6168  0.2891 
   00012    0.5400    -219.6358  0.3231 
   00013    0.5300    -235.9221  0.3373 
   00014    0.5000    -218.7105  0.3574 
   00015    0.4900    -215.2097  0.3485 
   00016    0.5000    -221.4080  0.2969 
   00017    0.5300    -236.1683  0.3496 
   00018    0.4500    -230.5277  0.3254 
   00019    0.5700    -221.7357  0.2680 
   00020    0.4000    -236.6676  0.2985 
   00021    0.4500    -226.2171  0.2871 
   00022    0.4200    -227.0191  0.3405 
   00023    0.5200    -229.5540  0.4018 
   00024    0.6000    -239.9471  0.4426 
   00025    0.6100    -238.4487  0.4356 
   00026    0.5300    -214.7444  0.3894 
   00027    0.6000    -209.5631  0.3972 
   00028    0.5600    -209.4626  0.4380 
   00029    0.5900    -213.3686  0.4650 
   00030    0.4600    -214.6894  0.4830 
   00031    0.5600    -224.5618  0.4438 
   00032    0.5400    -215.4629  0.3758 
   00033    0.5100    -215.9224  0.3108 
   00034    0.5100    -221.1517  0.3295 
   00035    0.5500    -208.5764  0.3646 
   00036    0.5500    -213.5672  0.3520 
   00037    0.5400    -198.4827  0.3765 
   00038    0.5500    -202.4759  0.3744 
   00039    0.6400    -207.3468  0.4763 
   00040    0.5800    -221.3326  0.4537 
   00041    0.4700    -239.6271  0.5324 
   00042    0.4600    -232.4431  0.5352 
   00043    0.4800    -227.0419  0.4964 
   00044    0.5600    -229.9784  0.5313 
   00045    0.4800    -236.2407  0.5824 
   00046    0.3900    -236.6615  0.5801 
   00047    0.4000    -239.6923  0.5808 
   00048    0.4900    -248.6715  0.5598 
   00049    0.4900    -240.8895  0.5578 
   00050    0.5200    -232.0034  0.5583 
   00051    0.4200    -254.2820  0.5936 
   00052    0.4200    -248.1056  0.5864 
   00053    0.5000    -262.9182  0.6367 
   00054    0.4200    -259.0373  0.6937 
   00055    0.5300    -258.3280  0.6805 
   00056    0.5100    -245.5367  0.6293 
   00057    0.5500    -259.0595  0.6150 
   00058    0.5000    -249.7285  0.5894 
   00059    0.5600    -260.1499  0.5762 
   00060    0.4800    -275.2451  0.6044 
   00061    0.4000    -250.0577  0.5670 
   00062    0.5200    -252.6964  0.5644 
   00063    0.4900    -252.2858  0.5477 
   00064    0.5400    -264.7115  0.5129 
   00065    0.4200    -264.5539  0.5121 
   00066    0.4300    -251.6383  0.5198 
   00067    0.4600    -236.9913  0.4758 
   00068    0.5100    -236.0810  0.4558 
   00069    0.5600    -209.7084  0.4831 
   00070    0.5500    -244.1090  0.5515 
   00071    0.4900    -251.9758  0.4875 
   00072    0.4000    -247.1854  0.5027 
   00073    0.4400    -252.5651  0.5899 
   00074    0.4500    -267.3497  0.5877 
   00075    0.5000    -246.9145  0.5645 
   00076    0.4800    -230.0869  0.5548 
   00077    0.4600    -248.5494  0.6030 
   00078    0.5000    -252.8766  0.6287 
   00079    0.4400    -245.5383  0.6151 
   00080    0.4600    -257.0559  0.5861 
   00081    0.5500    -256.6406  0.5910 
   00082    0.4000    -256.1082  0.6037 
   00083    0.4100    -237.5818  0.5695 
   00084    0.4700    -231.6301  0.5419 
   00085    0.4600    -222.2386  0.4948 
   00086    0.5100    -227.9423  0.4015 
   00087    0.5500    -219.0680  0.4275 
   00088    0.6100    -217.6959  0.4660 
   00089    0.5500    -216.2635  0.4912 
   00090    0.5100    -216.4082  0.5097 
   00091    0.4700    -241.0855  0.4708 
   00092    0.5500    -212.8278  0.4836 
   00093    0.4800    -237.3640  0.5330 
   00094    0.4400    -230.9040  0.5285 
   00095    0.5700    -228.0553  0.5581 
   00096    0.5200    -239.3842  0.5827 
   00097    0.4800    -234.4042  0.5019 
   00098    0.4000    -244.8120  0.4997 
   00099    0.5900    -224.0877  0.4979 
   00100    0.5300    -227.2758  0.4384 
