#=====================================================
# File created:        Fri-08-Mar-2024-at-04-59-36PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.258435
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -92.4194  0.3211 
   00001    0.7200    -140.7015  0.3146 
   00002    0.7100    -151.8368  0.3524 
   00003    0.6200    -177.3817  0.3993 
   00004    0.5800    -180.5453  0.3840 
   00005    0.6500    -187.1847  0.4023 
   00006    0.5300    -202.5238  0.3749 
   00007    0.5300    -205.2460  0.2649 
   00008    0.4500    -211.6971  0.2769 
   00009    0.5800    -223.5748  0.3072 
   00010    0.5600    -207.9660  0.3721 
   00011    0.5400    -197.9943  0.3589 
   00012    0.6000    -209.2254  0.3038 
   00013    0.5300    -207.1608  0.3136 
   00014    0.5900    -213.5074  0.4531 
   00015    0.5800    -209.0591  0.4067 
   00016    0.5300    -204.6728  0.3913 
   00017    0.5400    -201.8915  0.3685 
   00018    0.4900    -199.2556  0.3793 
   00019    0.5400    -190.3247  0.3592 
   00020    0.5700    -192.1648  0.2847 
   00021    0.5000    -202.0993  0.3054 
   00022    0.4700    -196.9016  0.2912 
   00023    0.6300    -218.6052  0.3055 
   00024    0.5700    -210.5186  0.2873 
   00025    0.4600    -210.1475  0.3123 
   00026    0.5700    -208.2013  0.2889 
   00027    0.4300    -207.3922  0.3086 
   00028    0.5100    -228.8549  0.3652 
   00029    0.5200    -229.3685  0.3755 
   00030    0.4200    -232.0138  0.4062 
   00031    0.5200    -250.7170  0.3317 
   00032    0.5400    -234.9444  0.3469 
   00033    0.4500    -219.7469  0.2676 
   00034    0.5600    -221.0001  0.3048 
   00035    0.5800    -229.5252  0.3188 
   00036    0.4100    -236.4228  0.3217 
   00037    0.4600    -231.8251  0.3279 
   00038    0.5600    -215.5161  0.3103 
   00039    0.5100    -211.7524  0.3230 
   00040    0.5400    -210.4777  0.2693 
   00041    0.4900    -192.1735  0.3640 
   00042    0.5000    -200.5858  0.3328 
   00043    0.5000    -197.4201  0.3471 
   00044    0.6000    -190.7481  0.3034 
   00045    0.5600    -225.6912  0.3548 
   00046    0.5000    -241.7346  0.3930 
   00047    0.6300    -212.0852  0.3285 
   00048    0.5100    -221.5525  0.3668 
   00049    0.5000    -226.6719  0.3875 
   00050    0.4700    -217.6742  0.3719 
   00051    0.4500    -229.8449  0.4114 
   00052    0.4700    -211.6604  0.4108 
   00053    0.5500    -216.4619  0.4319 
   00054    0.5700    -208.8364  0.4112 
   00055    0.4600    -222.3216  0.3844 
   00056    0.5100    -207.0246  0.3983 
   00057    0.5600    -215.6624  0.4266 
   00058    0.6200    -215.6146  0.4323 
   00059    0.5200    -229.3309  0.4014 
   00060    0.5800    -222.5967  0.4029 
   00061    0.5900    -216.5118  0.4145 
   00062    0.5100    -210.4292  0.4174 
   00063    0.4500    -200.4349  0.4561 
   00064    0.5100    -202.7381  0.4358 
   00065    0.5400    -198.7054  0.4440 
   00066    0.4700    -202.7797  0.5004 
   00067    0.4600    -224.2935  0.5181 
   00068    0.5700    -222.1978  0.5554 
   00069    0.5100    -227.5384  0.5392 
   00070    0.5500    -238.2904  0.5720 
   00071    0.5300    -232.5892  0.5174 
   00072    0.5500    -221.6578  0.5074 
   00073    0.5900    -227.9140  0.4922 
   00074    0.5800    -227.0260  0.5165 
   00075    0.4400    -230.1923  0.4568 
   00076    0.4500    -250.8254  0.4474 
   00077    0.4900    -250.3574  0.4448 
   00078    0.5000    -269.2106  0.4968 
   00079    0.3700    -254.9770  0.5224 
   00080    0.4900    -243.6422  0.4860 
   00081    0.4200    -224.2713  0.4445 
   00082    0.5500    -245.3512  0.4577 
   00083    0.4400    -237.6165  0.4741 
   00084    0.4500    -247.5679  0.5280 
   00085    0.3900    -258.8589  0.5490 
   00086    0.4600    -271.8132  0.5535 
   00087    0.4100    -262.8958  0.5351 
   00088    0.3100    -264.6410  0.5713 
   00089    0.3800    -258.1578  0.5458 
   00090    0.4500    -263.1066  0.5573 
   00091    0.5000    -265.6184  0.5830 
   00092    0.4700    -240.9049  0.5578 
   00093    0.5100    -241.5115  0.4885 
   00094    0.4900    -257.1942  0.5376 
   00095    0.5200    -232.2443  0.5066 
   00096    0.4800    -248.8360  0.5506 
   00097    0.4500    -250.9948  0.5827 
   00098    0.4500    -239.4521  0.5264 
   00099    0.4500    -246.1357  0.5353 
   00100    0.4400    -251.1962  0.5924 
