#=====================================================
# File created:        Fri-08-Mar-2024-at-06-20-15PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 0.800
# Run time (s):        1.241421
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -84.7781  0.3478 
   00001    0.7000    -144.0403  0.3631 
   00002    0.5800    -172.5546  0.3890 
   00003    0.5900    -170.7224  0.4088 
   00004    0.5100    -203.3165  0.4733 
   00005    0.5200    -225.9920  0.5174 
   00006    0.3900    -237.2499  0.5235 
   00007    0.5200    -248.8477  0.6142 
   00008    0.4900    -251.0663  0.5852 
   00009    0.4800    -249.5490  0.5568 
   00010    0.5100    -260.7058  0.5791 
   00011    0.4200    -263.1117  0.5802 
   00012    0.3800    -264.9937  0.5531 
   00013    0.4900    -273.5106  0.5841 
   00014    0.4600    -251.8933  0.5871 
   00015    0.4600    -256.6153  0.6047 
   00016    0.4800    -266.6734  0.5829 
   00017    0.5000    -267.6377  0.5694 
   00018    0.5000    -270.7272  0.5842 
   00019    0.4400    -270.7692  0.5851 
   00020    0.4100    -271.3990  0.5397 
   00021    0.5300    -264.9459  0.5845 
   00022    0.4400    -278.8624  0.5900 
   00023    0.4100    -283.8915  0.5941 
   00024    0.4500    -268.0692  0.5756 
   00025    0.5000    -282.8427  0.5368 
   00026    0.4300    -278.3474  0.5327 
   00027    0.5500    -280.8509  0.5396 
   00028    0.4400    -274.6894  0.5653 
   00029    0.5000    -265.7817  0.6427 
   00030    0.5200    -283.7536  0.6775 
   00031    0.5100    -301.3603  0.7068 
   00032    0.5000    -287.5924  0.6962 
   00033    0.4400    -295.2052  0.6900 
   00034    0.4300    -290.7538  0.7258 
   00035    0.4700    -284.1478  0.7054 
   00036    0.5000    -287.4249  0.6936 
   00037    0.4700    -303.2659  0.7226 
   00038    0.5000    -315.2128  0.7381 
   00039    0.3300    -314.1964  0.7300 
   00040    0.5000    -304.4551  0.7375 
   00041    0.4700    -282.1910  0.7158 
   00042    0.4400    -300.7374  0.7339 
   00043    0.4200    -299.9541  0.7530 
   00044    0.3700    -293.0845  0.7513 
   00045    0.4300    -284.4782  0.7169 
   00046    0.3800    -275.8458  0.6900 
   00047    0.4100    -272.5179  0.6855 
   00048    0.4300    -275.7709  0.7096 
   00049    0.3500    -270.5348  0.7512 
   00050    0.4400    -283.3289  0.7814 
   00051    0.4400    -273.2717  0.7579 
   00052    0.4700    -271.6843  0.7521 
   00053    0.3900    -284.4514  0.7572 
   00054    0.4300    -281.7635  0.7560 
   00055    0.4700    -286.0872  0.7409 
   00056    0.3700    -298.2126  0.7396 
   00057    0.4000    -310.4130  0.7575 
   00058    0.3200    -314.7755  0.7380 
   00059    0.4500    -310.4023  0.7519 
   00060    0.4700    -312.7877  0.7621 
   00061    0.4400    -304.5628  0.7821 
   00062    0.3200    -296.8629  0.7821 
   00063    0.5000    -308.3052  0.8060 
   00064    0.3900    -298.0338  0.8130 
   00065    0.3700    -303.1904  0.8123 
   00066    0.4600    -298.1084  0.7884 
   00067    0.4100    -310.2846  0.8065 
   00068    0.3700    -306.7653  0.7962 
   00069    0.4100    -287.1774  0.7423 
   00070    0.4300    -288.9381  0.7399 
   00071    0.3500    -292.4580  0.7496 
   00072    0.4200    -288.6020  0.7461 
   00073    0.3700    -286.2286  0.7557 
   00074    0.4500    -282.7254  0.7263 
   00075    0.3200    -279.7469  0.7113 
   00076    0.4200    -273.1781  0.7268 
   00077    0.3800    -259.2172  0.6900 
   00078    0.4100    -276.3408  0.7224 
   00079    0.4900    -277.3318  0.7547 
   00080    0.4300    -290.3730  0.8046 
   00081    0.4400    -279.3177  0.7891 
   00082    0.3800    -291.3431  0.7487 
   00083    0.4300    -290.6587  0.7681 
   00084    0.3400    -291.0430  0.7576 
   00085    0.4200    -293.5050  0.7759 
   00086    0.4500    -283.0927  0.7572 
   00087    0.4400    -290.0065  0.7253 
   00088    0.4000    -295.6372  0.7090 
   00089    0.4900    -291.1685  0.6785 
   00090    0.4100    -284.0785  0.7155 
   00091    0.4800    -291.2014  0.7266 
   00092    0.4500    -285.4959  0.7113 
   00093    0.4400    -283.7069  0.6879 
   00094    0.4400    -284.1997  0.6903 
   00095    0.4300    -293.9059  0.7110 
   00096    0.3900    -292.4576  0.7645 
   00097    0.4200    -281.5467  0.7198 
   00098    0.3900    -264.3244  0.7148 
   00099    0.4900    -271.1146  0.7180 
   00100    0.4200    -275.5737  0.7511 
