#=====================================================
# File created:        Sat-09-Mar-2024-at-11-45-10PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.450
# Run time (s):        9.455489
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -377.9634  0.2908 
   00001    0.6675    -547.0062  0.2926 
   00002    0.6325    -683.6813  0.2968 
   00003    0.5950    -787.5950  0.3203 
   00004    0.5350    -848.7836  0.3299 
   00005    0.5850    -899.2573  0.3462 
   00006    0.5525    -959.0352  0.3502 
   00007    0.5450   -1004.9852  0.3475 
   00008    0.4775   -1025.4548  0.3481 
   00009    0.5400   -1071.4835  0.3397 
   00010    0.4600   -1095.0413  0.3584 
   00011    0.4800   -1119.6118  0.3636 
   00012    0.4900   -1152.6901  0.3739 
   00013    0.4325   -1147.8288  0.3752 
   00014    0.4825   -1177.5850  0.3918 
   00015    0.4975   -1188.6866  0.4003 
   00016    0.4650   -1193.1163  0.4119 
   00017    0.4500   -1213.7185  0.4329 
   00018    0.4725   -1232.9642  0.4424 
   00019    0.4350   -1232.5533  0.4428 
   00020    0.4550   -1230.0751  0.4383 
   00021    0.4400   -1226.4341  0.4481 
   00022    0.4150   -1240.2880  0.4712 
   00023    0.4275   -1253.9020  0.4741 
   00024    0.4400   -1245.6933  0.5009 
   00025    0.3950   -1252.4398  0.5175 
   00026    0.4100   -1266.8471  0.5485 
   00027    0.4175   -1280.8587  0.5654 
   00028    0.4475   -1272.7639  0.5749 
   00029    0.4175   -1263.7881  0.5801 
   00030    0.4425   -1270.2365  0.5848 
   00031    0.4450   -1284.5184  0.5877 
   00032    0.4400   -1293.2601  0.5843 
   00033    0.4700   -1299.7241  0.5940 
   00034    0.4250   -1298.7793  0.6073 
   00035    0.3900   -1284.8702  0.5993 
   00036    0.4125   -1300.9151  0.5993 
   00037    0.4350   -1312.6131  0.6029 
   00038    0.4650   -1310.0154  0.5966 
   00039    0.4350   -1318.8119  0.6128 
   00040    0.4300   -1313.4339  0.6183 
   00041    0.4325   -1333.2225  0.6272 
   00042    0.4200   -1332.1115  0.6419 
   00043    0.4525   -1349.3672  0.6452 
   00044    0.3850   -1350.6910  0.6438 
   00045    0.4425   -1358.5853  0.6500 
   00046    0.4175   -1362.0950  0.6705 
   00047    0.4200   -1360.2135  0.6662 
   00048    0.3950   -1357.2261  0.6718 
   00049    0.4225   -1353.1928  0.6692 
   00050    0.4250   -1353.4438  0.6904 
   00051    0.4050   -1347.0021  0.6956 
   00052    0.4450   -1352.1602  0.6987 
   00053    0.4275   -1347.1778  0.7128 
   00054    0.4225   -1346.4072  0.7080 
   00055    0.4100   -1350.4231  0.7209 
   00056    0.4100   -1353.9049  0.7186 
   00057    0.4225   -1355.2803  0.7101 
   00058    0.4000   -1325.1752  0.7015 
   00059    0.4000   -1355.8898  0.7084 
   00060    0.4025   -1367.8499  0.7233 
   00061    0.4250   -1363.0318  0.7167 
   00062    0.4475   -1359.0890  0.7137 
   00063    0.4300   -1361.2769  0.7330 
   00064    0.4600   -1366.0963  0.7296 
   00065    0.4450   -1359.2011  0.7203 
   00066    0.4300   -1367.5233  0.7260 
   00067    0.4275   -1371.2835  0.7263 
   00068    0.4675   -1368.8104  0.7368 
   00069    0.4475   -1370.7224  0.7462 
   00070    0.4175   -1382.3102  0.7432 
   00071    0.3925   -1390.9413  0.7539 
   00072    0.3975   -1401.1906  0.7620 
   00073    0.4175   -1385.3971  0.7589 
   00074    0.4300   -1379.3945  0.7651 
   00075    0.4025   -1381.5571  0.7756 
   00076    0.3900   -1381.3151  0.7688 
   00077    0.4225   -1376.9701  0.7539 
   00078    0.3700   -1389.8034  0.7515 
   00079    0.3950   -1383.0423  0.7496 
   00080    0.4100   -1379.9153  0.7562 
   00081    0.4125   -1385.8495  0.7563 
   00082    0.4000   -1378.7128  0.7529 
   00083    0.3800   -1370.8743  0.7594 
   00084    0.4175   -1381.9585  0.7688 
   00085    0.4150   -1378.6819  0.7676 
   00086    0.3925   -1380.6419  0.7630 
   00087    0.4675   -1373.8854  0.7658 
   00088    0.4150   -1366.5757  0.7568 
   00089    0.4450   -1377.5719  0.7391 
   00090    0.4350   -1366.4873  0.7290 
   00091    0.4250   -1377.1236  0.7382 
   00092    0.3750   -1387.2811  0.7548 
   00093    0.4075   -1384.7142  0.7635 
   00094    0.4050   -1398.6724  0.7680 
   00095    0.3975   -1394.6038  0.7696 
   00096    0.4125   -1390.8633  0.7781 
   00097    0.4300   -1390.7300  0.7865 
   00098    0.4200   -1398.7973  0.7842 
   00099    0.4375   -1399.4470  0.8001 
   00100    0.4175   -1390.4849  0.7997 
   00101    0.4125   -1376.1914  0.7916 
   00102    0.3975   -1378.9896  0.7868 
   00103    0.3950   -1385.3401  0.7758 
   00104    0.3925   -1402.2685  0.7864 
   00105    0.4525   -1412.4366  0.7759 
   00106    0.4050   -1417.8773  0.7794 
   00107    0.4450   -1410.1574  0.7776 
   00108    0.4425   -1411.7503  0.7861 
   00109    0.4250   -1390.3776  0.7817 
   00110    0.3925   -1398.1022  0.7981 
   00111    0.3900   -1395.9295  0.7980 
   00112    0.3875   -1412.0128  0.8060 
   00113    0.4175   -1411.4179  0.8131 
   00114    0.4200   -1401.6740  0.8181 
   00115    0.3950   -1415.3896  0.8191 
   00116    0.3925   -1407.1626  0.8237 
   00117    0.4400   -1399.9979  0.8327 
   00118    0.4375   -1409.4601  0.8354 
   00119    0.3750   -1413.3772  0.8375 
   00120    0.4450   -1396.9183  0.8255 
   00121    0.4200   -1403.9599  0.8302 
   00122    0.3800   -1406.5881  0.8259 
   00123    0.4200   -1420.7010  0.8499 
   00124    0.3800   -1419.3585  0.8565 
   00125    0.4075   -1419.9683  0.8679 
   00126    0.4075   -1409.0703  0.8632 
   00127    0.4000   -1425.8295  0.8699 
